id,dong,part,use,floors,floor_h_m,roof_m,height_m,base_elev_m,top_elev_m,area_m2,gfa_m2,layer,source,wkt
101-A,101동,A(주동 서측),공동주택,48,2.95,4.0,145.6,13.3,158.9,346.0,16608.1,tower,배치도 트레이싱(개략),"POLYGON ((194052.0351573392 547034.6151755195, 194064.44204908024 547019.1813013023, 194050.82392477102 547008.2340438837, 194038.41703302995 547023.6679181008, 194052.0351573392 547034.6151755195))"
101-B,101동,B(주동 동측),공동주택,43,2.95,4.0,130.85,13.3,144.15,149.3,6418.0,tower,배치도 트레이싱(개략),"POLYGON ((194059.9026743105 547015.5322154962, 194067.93066308412 547005.5455910027, 194058.85191354464 546998.2474193904, 194050.82392477102 547008.2340438837, 194059.9026743105 547015.5322154962))"
101-C,101동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,164.2,5582.2,tower,배치도 트레이싱(개략),"POLYGON ((194069.88929880393 547023.5602042697, 194077.91728757755 547013.5735797763, 194067.93066308412 547005.5455910027, 194059.9026743105 547015.5322154962, 194069.88929880393 547023.5602042697))"
102-A,102동,A(주동 서측),공동주택,48,2.95,4.0,145.6,13.3,158.9,325.6,15631.1,tower,배치도 트레이싱(개략),"POLYGON ((194133.77687728664 547009.1573069394, 194145.45395186645 546994.6313076762, 194131.83582755722 546983.6840502576, 194120.1587529774 546998.2100495207, 194133.77687728664 547009.1573069394))"
102-B,102동,B(주동 동측),공동주택,46,2.95,4.0,139.7,13.3,153.0,162.8,7489.9,tower,배치도 트레이싱(개략),"POLYGON ((194145.45395186645 546994.6313076762, 194152.75212347883 546985.5525581366, 194141.85762403146 546976.7947522018, 194134.55945241905 546985.8735017413, 194145.45395186645 546994.6313076762))"
102-C,102동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,162.8,5536.0,tower,배치도 트레이싱(개략),"POLYGON ((194120.88857013863 546997.3021745668, 194129.6463760735 546986.4076751195, 194120.567626534 546979.109503507, 194111.80982059916 546990.0040029545, 194120.88857013863 546997.3021745668))"
103-A,103동,A(주동 서측),공동주택,42,2.95,4.0,127.9,13.3,141.2,346.0,14532.1,tower,배치도 트레이싱(개략),"POLYGON ((194140.87720722714 546929.6753824372, 194151.82446464573 546916.057258128, 194136.39059042858 546903.6503663869, 194125.44333301001 546917.2684906961, 194140.87720722714 546929.6753824372))"
103-B,103동,B(주동 동측),공동주택,42,2.95,4.0,127.9,13.3,141.2,164.2,6895.6,tower,배치도 트레이싱(개략),"POLYGON ((194146.37721492202 546911.6783551605, 194154.40520369564 546901.691730667, 194144.4185792022 546893.6637418935, 194136.39059042858 546903.6503663869, 194146.37721492202 546911.6783551605))"
103-C,103동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,164.2,5582.2,tower,배치도 트레이싱(개략),"POLYGON ((194156.36383941546 546919.7063439342, 194164.39182818908 546909.7197194407, 194154.40520369564 546901.691730667, 194146.37721492202 546911.6783551605, 194156.36383941546 546919.7063439342))"
104-A,104동,A(주동 서측),공동주택,43,2.95,4.0,130.85,13.3,144.15,325.6,14002.9,tower,배치도 트레이싱(개략),"POLYGON ((194208.21822773293 546916.5540616366, 194219.89530231274 546902.0280623734, 194206.2771780035 546891.0808049547, 194194.6001034237 546905.6068042179, 194208.21822773293 546916.5540616366))"
