id,dong,part,use,floors,floor_h_m,roof_m,height_m,base_elev_m,top_elev_m,area_m2,gfa_m2,layer,source,wkt
101-A,101동,A(주동 서측),공동주택,48,2.95,4.0,145.6,13.3,158.9,369.6,17738.5,tower,배치도 트레이싱(개략),"POLYGON ((194047.28228053436 547035.9896183206, 194060.10446564885 547020.0391412214, 194046.0305152672 547008.7254484734, 194033.20833015267 547024.6759255725, 194047.28228053436 547035.9896183206))"
101-B,101동,B(주동 동측),공동주택,43,2.95,4.0,130.85,13.3,144.15,159.4,6854.8,tower,배치도 트레이싱(개략),"POLYGON ((194055.41314885498 547016.2679103054, 194063.70985687023 547005.9470133588, 194054.32722328245 546998.4045515268, 194046.0305152672 547008.7254484734, 194055.41314885498 547016.2679103054))"
101-C,101동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,175.4,5962.1,tower,배치도 트레이싱(개략),"POLYGON ((194065.73404580154 547024.5646183207, 194074.0307538168 547014.2437213741, 194063.70985687023 547005.9470133588, 194055.41314885498 547016.2679103054, 194065.73404580154 547024.5646183207))"
102-A,102동,A(주동 서측),공동주택,48,2.95,4.0,145.6,13.3,158.9,347.8,16695.1,tower,배치도 트레이싱(개략),"POLYGON ((194131.76009541986 547009.6796469466, 194143.82803435117 546994.6674332061, 194129.75408396948 546983.353740458, 194117.68614503817 546998.3659541985, 194131.76009541986 547009.6796469466))"
102-B,102동,B(주동 동측),공동주택,46,2.95,4.0,139.7,13.3,153.0,173.9,7999.7,tower,배치도 트레이싱(개략),"POLYGON ((194143.82803435117 546994.6674332061, 194151.37049618323 546985.2847996183, 194140.11133587788 546976.2338454198, 194132.56887404583 546985.6164790076, 194143.82803435117 546994.6674332061))"
102-C,102동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,173.9,5912.8,tower,배치도 트레이싱(개략),"POLYGON ((194118.44039122137 546997.4276908397, 194127.49134541987 546986.1685305344, 194118.1087118321 546978.6260687023, 194109.0577576336 546989.8852290077, 194118.44039122137 546997.4276908397))"
103-A,103동,A(주동 서측),공동주택,42,2.95,4.0,127.9,13.3,141.2,369.6,15521.2,tower,배치도 트레이싱(개략),"POLYGON ((194139.09812022903 546927.5372805344, 194150.4118129771 546913.4633301527, 194134.46133587786 546900.6411450382, 194123.14764312978 546914.7150954199, 194139.09812022903 546927.5372805344))"
103-B,103동,B(주동 동측),공동주택,42,2.95,4.0,127.9,13.3,141.2,175.4,7365.0,tower,배치도 트레이싱(개략),"POLYGON ((194144.78223282442 546908.9378530534, 194153.0789408397 546898.6169561069, 194142.75804389315 546890.3202480916, 194134.46133587786 546900.6411450382, 194144.78223282442 546908.9378530534))"
103-C,103동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,175.4,5962.1,tower,배치도 트레이싱(개략),"POLYGON ((194155.103129771 546917.2345610687, 194163.39983778627 546906.9136641221, 194153.0789408397 546898.6169561069, 194144.78223282442 546908.9378530534, 194155.103129771 546917.2345610687))"
104-A,104동,A(주동 서측),공동주택,43,2.95,4.0,130.85,13.3,144.15,347.8,14956.0,tower,배치도 트레이싱(개략),"POLYGON ((194208.6932061069 546913.9767843512, 194220.76114503818 546898.9645706107, 194206.6871946565 546887.6508778626, 194194.6192557252 546902.6630916031, 194208.6932061069 546913.9767843512))"
104-B,104동,B(주동 동측),공동주택,43,2.95,4.0,130.85,13.3,144.15,173.9,7478.0,tower,배치도 트레이싱(개략),"POLYGON ((194220.76114503818 546898.9645706107, 194228.30360687023 546889.5819370229, 194217.0444465649 546880.5309828244, 194209.50198473284 546889.9136164122, 194220.76114503818 546898.9645706107))"
104-C,104동,C(저층 연결부),공동주택,34,2.95,4.0,104.3,13.3,117.6,173.9,5912.8,tower,배치도 트레이싱(개략),"POLYGON ((194194.6192557252 546902.6630916031, 194203.67020992367 546891.4039312977, 194194.2875763359 546883.8614694657, 194185.23662213743 546895.120629771, 194194.6192557252 546902.6630916031))"
P-N1,저층부,북측 저층부(키즈카페·돌봄센터·경로당·공공기여),근린생활시설/공공시설,1,4.5,0.0,4.5,13.3,17.8,5176.6,5176.6,podium,배치도 트레이싱(개략),"POLYGON ((194118.24043893133 547082.2190076336, 194260.03872137406 546905.8254961832, 194242.21171755728 546891.4948187022, 194100.41343511452 547067.8883301527, 194118.24043893133 547082.2190076336))"
P-N2,저층부,북서측 저층부(어린이집·유아돌봄),주민공동시설,1,4.5,0.0,4.5,13.3,17.8,1460.8,1460.8,podium,배치도 트레이싱(개략),"POLYGON ((194099.8432061069 547070.5191030535, 194142.08099236642 547017.9763549619, 194125.19225190842 547004.3999236642, 194082.95446564886 547056.9426717558, 194099.8432061069 547070.5191030535))"
P-C1,저층부,중앙 저층부(작은도서관·피트니스·공유주방),주민공동시설,1,4.5,0.0,4.5,13.3,17.8,2040.5,2040.5,podium,배치도 트레이싱(개략),"POLYGON ((194133.91152671757 546974.3391412214, 194182.18328244277 546914.2902862595, 194161.5414885496 546897.696870229, 194113.26973282444 546957.7457251908, 194133.91152671757 546974.3391412214))"
P-E1,저층부,동측 저층부(복합문화체육센터·노인복지시설),공공기여시설,2,4.5,0.0,9.0,13.3,22.3,1184.0,2368.0,podium,배치도 트레이싱(개략),"POLYGON ((194177.69416030534 546904.5032633587, 194210.1267461832 546864.1579389313, 194192.29974236642 546849.8272614504, 194159.86715648856 546890.1725858778, 194177.69416030534 546904.5032633587))"
P-S1,저층부,남측 저층부(근린생활시설),근린생활시설,1,4.5,0.0,4.5,13.3,17.8,4816.4,4816.4,podium,배치도 트레이싱(개략),"POLYGON ((194048.61402671758 547029.3372614504, 194192.67504770993 546850.1289599236, 194176.34926526717 546837.0050763359, 194032.28824427482 547016.2133778626, 194048.61402671758 547029.3372614504))"
CTX-SAMBU,삼부아파트(기존),주변 참고 건물,참고(주변현황),12,2.95,4.0,39.4,13.3,52.7,2336.2,28033.8,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194026.27469465652 547094.7867080153, 194045.88509541986 547070.391860687, 193987.71276717557 547023.6285973283, 193968.10236641223 547048.0234446565, 194026.27469465652 547094.7867080153))"
CTX-JANGMI,장미아파트(기존),주변 참고 건물,참고(주변현황),13,2.95,4.0,42.35,13.3,55.65,1913.0,24868.7,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194163.0385305344 547139.8552194657, 194212.81877862598 547077.9298377862, 194194.05351145042 547062.8449141221, 194144.2732633588 547124.7702958016, 194163.0385305344 547139.8552194657))"
CTX-YEOGO,여의도여자고등학교,주변 참고 건물,참고(주변현황),5,2.95,4.0,18.75,13.3,32.05,2110.1,10550.4,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194233.93767175576 547051.6584637405, 194273.15847328247 547002.868769084, 194246.88709923666 546981.7498759542, 194207.66629770995 547030.5395706107, 194233.93767175576 547051.6584637405))"
CTX-HWARANG,화랑아파트(기존),주변 참고 건물,참고(주변현황),12,2.95,4.0,39.4,13.3,52.7,1721.7,20660.2,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194288.2433969466 546984.1035019084, 194328.97269083973 546933.4372805343, 194308.3308969466 546916.8438645038, 194267.60160305345 546967.5100858778, 194288.2433969466 546984.1035019084))"
CTX-HANYANG,한양아파트(기존),주변 참고 건물,참고(주변현황),12,2.95,4.0,39.4,13.3,52.7,3026.0,36311.8,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194072.2246946565 546903.1264980916, 194115.97097328244 546848.7072232824, 194082.1934923664 546821.554360687, 194038.44721374047 546875.9736354962, 194072.2246946565 546903.1264980916))"
CTX-HANYANG-102,한양아파트 재건축(안) 102동,주변 참고 건물,참고(주변현황),54,2.95,4.0,163.3,13.3,176.6,1460.8,78884.2,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194034.14435114505 546946.6546469466, 194061.29721374047 546912.8771660306, 194035.02583969466 546891.7582729008, 194007.87297709924 546925.5357538168, 194034.14435114505 546946.6546469466))"
CTX-HANYANG-103,한양아파트 재건축(안) 103동,주변 참고 건물,참고(주변현황),51,2.95,4.0,154.45,13.3,167.75,2295.6,117074.2,context,배치도 참고표기(개략) - 실측 대체 필요,"POLYGON ((194126.4940648855 546850.988139313, 194153.6469274809 546817.210658397, 194112.36333969465 546784.0238263359, 194085.21047709923 546817.8013072519, 194126.4940648855 546850.988139313))"
