구분,종류,학교,지번,층수,수광점,면적m2,중심X,중심Y,S0 일조h,S1 일조h,S2 일조h,S3 일조h,S0 연속h,S1 연속h,S2 연속h,S3 연속h,S0 기준A%,S1 기준A%,S2 기준A%,S3 기준A%,S0 대교영향h,S1 대교영향h,S2 대교영향h,S3 대교영향h,S0 화랑영향h,S1 화랑영향h,S2 화랑영향h,S3 화랑영향h
여의도여자고등학교 ①(5층),교사동,여의도여자고등학교,40-2,5,60,575.1,194233.9,547050.7,4.91,3.65,4.17,2.91,4.54,2.66,3.95,2.07,75.0,75.0,75.0,75.0,0.26,1.51,0.26,1.51,0.38,0.38,1.13,1.13
여의도여자고등학교 ②(5층),교사동,여의도여자고등학교,40-2,5,55,804.6,194300.9,547031.0,3.87,3.19,5.08,4.15,2.78,2.42,3.7,2.87,74.5,61.8,100.0,100.0,0.15,0.82,0.16,1.09,2.93,2.67,1.71,1.71
여의도여자고등학교 ③(4층),교사동,여의도여자고등학교,40-2,4,36,473.2,194204.0,547028.4,4.02,3.7,4.23,3.91,3.35,2.27,3.78,2.7,75.0,55.6,83.3,77.8,2.2,2.51,2.2,2.51,0.42,0.42,0.21,0.21
여의도여자고등학교 운동장,운동장,여의도여자고등학교,40-2,0,391,24988.6,194253.5,547032.2,2.74,2.48,3.23,2.93,2.43,1.93,2.89,2.37,58.8,49.6,73.1,58.3,1.39,1.65,1.52,1.82,1.37,1.35,0.88,0.9
(학교명 미상) ①(4층),교사동,(학교명 미상),40-3,4,68,927.9,194409.8,547014.7,6.51,6.51,6.51,6.51,6.05,6.05,6.05,6.05,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02
(학교명 미상) 운동장,운동장,(학교명 미상),40-3,0,303,19622.1,194411.8,547013.9,4.52,4.52,4.63,4.57,3.69,3.68,3.74,3.74,83.8,83.8,86.1,86.1,0.0,0.0,0.01,0.06,0.81,0.77,0.7,0.71
여의도고등학교 ①(4층),교사동,여의도고등학교,30-1,4,176,2833.2,194186.6,547286.5,5.25,4.85,5.1,4.71,4.99,4.16,4.13,3.38,90.9,87.5,90.9,86.9,0.0,0.39,0.0,0.39,0.0,0.0,0.15,0.15
여의도고등학교 ②(1층),교사동,여의도고등학교,30-1,1,6,173.3,194220.6,547268.5,0.22,0.22,0.22,0.22,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여의도고등학교 ③(3층),교사동,여의도고등학교,30-1,3,30,613.3,194171.3,547218.5,5.85,4.63,5.6,4.38,3.85,2.47,3.57,1.85,100.0,70.0,100.0,70.0,0.0,1.22,0.0,1.22,0.0,0.0,0.25,0.25
여의도고등학교 운동장,운동장,여의도고등학교,30-1,0,588,37543.0,194176.2,547280.1,4.89,4.61,4.73,4.46,4.45,4.0,3.8,3.37,88.8,80.1,85.7,73.3,0.0,0.27,0.0,0.28,0.0,0.0,0.16,0.16
여의도중학교 ①(5층),교사동,여의도중학교,40-1,5,165,1971.7,194323.6,547169.8,5.29,4.79,4.78,4.27,5.25,4.47,3.07,2.67,98.2,98.2,98.2,98.2,0.0,0.51,0.0,0.51,0.0,0.0,0.51,0.51
여의도중학교 ②(4층),교사동,여의도중학교,40-1,4,84,1481.9,194331.4,547093.1,4.1,3.67,3.49,3.07,4.03,3.47,3.02,2.58,81.0,70.2,81.0,60.7,0.0,0.43,0.0,0.43,0.05,0.05,0.66,0.66
여의도중학교 운동장,운동장,여의도중학교,40-1,0,520,33332.3,194319.8,547150.4,5.09,4.75,4.88,4.49,4.86,4.38,3.7,3.37,94.4,91.0,95.8,88.5,0.03,0.37,0.05,0.44,0.49,0.42,0.69,0.69
