학교,층,수광점,현황_기준A%,신축_기준A%,변화%p,현황_평균총h,신축_평균총h
30-1 여의도고등학교,1,64,90.6,82.8,-7.8,4.96,4.5
30-1 여의도고등학교,2,64,92.2,84.4,-7.8,5.24,4.78
30-1 여의도고등학교,3,64,95.3,89.1,-6.2,5.61,5.14
30-1 여의도고등학교,4,54,96.3,94.4,-1.9,5.89,5.57
40-1 여의도중학교,1,54,79.6,75.9,-3.7,3.95,3.66
40-1 여의도중학교,2,54,87.0,83.3,-3.7,4.45,4.09
40-1 여의도중학교,3,54,96.3,94.4,-1.9,5.12,4.63
40-1 여의도중학교,4,54,98.1,94.4,-3.7,5.67,5.01
40-1 여의도중학교,5,33,100.0,100.0,0.0,6.11,5.39
40-2 여의도여자고등학교,1,51,51.0,37.3,-13.7,2.81,2.29
40-2 여의도여자고등학교,2,51,60.8,47.1,-13.7,3.26,2.53
40-2 여의도여자고등학교,3,51,64.7,60.8,-3.9,3.71,2.82
40-2 여의도여자고등학교,4,51,80.4,74.5,-5.9,4.3,3.26
40-2 여의도여자고등학교,5,42,83.3,81.0,-2.4,4.81,3.63
40-3 여의도초등학교,1,35,82.9,82.9,0.0,4.93,4.85
40-3 여의도초등학교,2,35,82.9,82.9,0.0,5.07,4.97
40-3 여의도초등학교,3,35,88.6,88.6,0.0,5.29,5.14
40-3 여의도초등학교,4,35,94.3,94.3,0.0,5.68,5.53
40-3 여의도초등학교,5,18,94.4,94.4,0.0,5.54,5.25
