구분,종류,지번,층수,수광점,면적m2,X,Y,S0_총일조h,S1_총일조h,S2_총일조h,S3_총일조h,S0_연속일조h,S1_연속일조h,S2_연속일조h,S3_연속일조h,S1-S0_총h,S2-S0_총h,S3-S0_총h
여의도고등학교 ①(4층),교사동,30-1,4,176,2833.2,194186.6,547286.5,5.25,4.85,5.1,4.71,4.99,4.16,4.13,3.38,-0.39,-0.15,-0.54
여의도고등학교 ②(1층),교사동,30-1,1,6,173.3,194220.6,547268.5,0.22,0.22,0.22,0.22,0.14,0.14,0.14,0.14,0.0,0.0,0.0
여의도고등학교 ③(3층),교사동,30-1,3,30,613.3,194171.3,547218.5,5.85,4.63,5.6,4.38,3.85,2.47,3.57,1.85,-1.22,-0.25,-1.47
여의도고등학교 운동장,운동장,30-1,0,588,37543.0,194176.2,547280.1,4.89,4.61,4.73,4.46,4.45,4.0,3.8,3.37,-0.27,-0.16,-0.43
여의도중학교 ①(5층),교사동,40-1,5,165,1971.7,194323.6,547169.8,5.29,4.79,4.78,4.27,5.25,4.47,3.07,2.67,-0.51,-0.51,-1.02
여의도중학교 ②(4층),교사동,40-1,4,84,1481.9,194331.4,547093.1,4.1,3.67,3.49,3.07,4.03,3.47,3.02,2.58,-0.43,-0.6,-1.03
여의도중학교 운동장,운동장,40-1,0,520,33332.3,194319.8,547150.4,5.09,4.75,4.88,4.49,4.86,4.38,3.7,3.37,-0.34,-0.21,-0.6
여의도여자고등학교 ①(5층),교사동,40-2,5,60,575.1,194233.9,547050.7,4.91,3.65,4.17,2.91,4.54,2.66,3.95,2.07,-1.26,-0.74,-2.0
여의도여자고등학교 ②(5층),교사동,40-2,5,55,804.6,194300.9,547031.0,3.87,3.19,5.08,4.15,2.78,2.42,3.7,2.87,-0.67,1.22,0.29
여의도여자고등학교 ③(4층),교사동,40-2,4,36,473.2,194204.0,547028.4,4.02,3.7,4.23,3.91,3.35,2.27,3.78,2.7,-0.32,0.21,-0.11
여의도여자고등학교 운동장,운동장,40-2,0,391,24988.6,194253.5,547032.2,2.74,2.48,3.23,2.93,2.43,1.93,2.89,2.37,-0.26,0.49,0.19
(학교명 미상) ①(4층),교사동,40-3,4,68,927.9,194409.8,547014.7,6.51,6.51,6.51,6.51,6.05,6.05,6.05,6.05,0.0,0.0,0.0
(학교명 미상) 운동장,운동장,40-3,0,303,19622.1,194411.8,547013.9,4.52,4.52,4.63,4.57,3.69,3.68,3.74,3.74,-0.0,0.11,0.06
