학교,층,X,Y,Z,창면방위,현황_연속h,현황_총h,현황_충족,신축_연속h,신축_총h,신축_충족,총h변화
40-1 여의도중학교,1,194352.16,547094.58,1.2,129.8,5.33,5.33,충족,5.33,5.33,충족,0.0
40-1 여의도중학교,2,194352.16,547094.58,4.7,129.8,5.5,5.5,충족,5.5,5.5,충족,0.0
40-1 여의도중학교,3,194352.16,547094.58,8.2,129.8,5.5,5.5,충족,5.5,5.5,충족,0.0
40-1 여의도중학교,4,194352.16,547094.58,11.7,129.8,5.67,5.67,충족,5.67,5.67,충족,0.0
40-1 여의도중학교,1,194349.38,547091.56,1.2,93.0,3.83,3.83,충족,3.83,3.83,충족,0.0
40-1 여의도중학교,2,194349.38,547091.56,4.7,93.0,4.0,4.0,충족,4.0,4.0,충족,0.0
40-1 여의도중학교,3,194349.38,547091.56,8.2,93.0,4.0,4.0,충족,4.0,4.0,충족,0.0
40-1 여의도중학교,4,194349.38,547091.56,11.7,93.0,4.17,4.17,충족,4.17,4.17,충족,0.0
40-1 여의도중학교,1,194348.58,547086.47,1.2,105.5,4.67,4.67,충족,4.67,4.67,충족,0.0
40-1 여의도중학교,2,194348.58,547086.47,4.7,105.5,4.83,4.83,충족,4.83,4.83,충족,0.0
40-1 여의도중학교,3,194348.58,547086.47,8.2,105.5,4.83,4.83,충족,4.83,4.83,충족,0.0
40-1 여의도중학교,4,194348.58,547086.47,11.7,105.5,5.0,5.0,충족,5.0,5.0,충족,0.0
40-1 여의도중학교,1,194347.02,547081.58,1.2,110.7,4.5,4.83,충족,4.5,4.83,충족,0.0
40-1 여의도중학교,2,194347.02,547081.58,4.7,110.7,5.17,5.17,충족,5.17,5.17,충족,0.0
40-1 여의도중학교,3,194347.02,547081.58,8.2,110.7,5.33,5.33,충족,5.33,5.33,충족,0.0
40-1 여의도중학교,4,194347.02,547081.58,11.7,110.7,5.33,5.33,충족,5.33,5.33,충족,0.0
40-1 여의도중학교,1,194344.72,547076.98,1.2,120.1,5.17,5.17,충족,5.17,5.17,충족,0.0
40-1 여의도중학교,2,194344.72,547076.98,4.7,120.1,5.33,5.67,충족,5.33,5.67,충족,0.0
40-1 여의도중학교,3,194344.72,547076.98,8.2,120.1,6.0,6.0,충족,6.0,6.0,충족,0.0
40-1 여의도중학교,4,194344.72,547076.98,11.7,120.1,6.0,6.0,충족,6.0,6.0,충족,0.0
40-1 여의도중학교,1,194341.4,547073.0,1.2,135.8,5.33,5.33,충족,5.33,5.33,충족,0.0
40-1 여의도중학교,2,194341.4,547073.0,4.7,135.8,6.0,6.17,충족,5.67,5.83,충족,-0.34
