코드,배치안,설명,동수,최고층수,건축면적㎡,지상연면적㎡,용적률%,건폐율%,세대평균높이m,기준A충족%,기준B충족%,연속2h충족%,총4h충족%,평균연속h,평균총h,불충족점수,불충족평균확보h
Z0,화랑 공지(영향 없음 기준선),화랑 철거 후 나지 상태,0,0,0,0,0.0,0.0,0.0,87.2,85.3,87.1,77.8,4.22,4.72,87,1.24
Z1,화랑 현황 10층 3개동,현재 상태,3,9,2246.5,20218.3,215.2,23.9,13.3,82.6,80.3,82.4,70.4,3.87,4.44,118,1.51
A1,탑상형 1개동 (700㎡),1개동 · 동당 700㎡ · 53층,1,53,700.0,37100.0,394.9,7.5,78.2,82.2,76.9,81.3,67.1,3.13,4.23,121,1.64
A2,탑상형 1개동 (620㎡),1개동 · 동당 620㎡ · 60층,1,60,620.0,37200.0,396.0,6.6,88.5,82.4,77.1,81.5,68.8,3.06,4.23,120,1.63
A3,탑상형 1개동 (540㎡ 초슬림),1개동 · 동당 540㎡ · 69층,1,69,540.0,37260.0,396.6,5.7,101.8,85.1,80.7,84.4,69.1,3.0,4.24,101,1.42
B1,탑상형 2개동 (학교 반대측),2개동 · 동당 560㎡ · 33층,2,33,1120.0,36960.0,393.4,11.9,48.7,72.5,68.5,71.2,56.0,3.33,4.14,187,2.11
B2,탑상형 2개동 (대지 중앙),2개동 · 동당 560㎡ · 33층,2,33,1120.0,36960.0,393.4,11.9,48.7,75.1,69.0,73.5,55.9,3.32,4.08,169,1.84
B3,탑상형 2개동 (학교측),2개동 · 동당 560㎡ · 33층,2,33,1120.0,36960.0,393.4,11.9,48.7,77.5,71.0,75.6,56.6,3.33,4.06,153,1.57
C1,탑상형 3개동,3개동 · 동당 470㎡ · 26층,3,26,1410.0,36660.0,390.2,15.0,38.3,66.6,64.3,66.5,56.0,3.36,4.05,227,1.9
D1,판상형 2개동 (비교군),"2개동 · 동당 1,100㎡ · 17층",2,17,2200.0,37400.0,398.1,23.4,25.1,71.9,69.3,71.8,60.1,3.51,4.05,191,1.36
F1-35,1개동 35층,"1개동 · 동당 1,074㎡ · 35층",1,35,1073.7,37580.0,400.0,11.4,51.6,82.4,78.8,82.1,65.1,3.59,4.27,120,1.5
F1-40,1개동 40층,1개동 · 동당 940㎡ · 40층,1,40,939.5,37580.0,400.0,10.0,59.0,83.1,80.3,82.8,65.3,3.49,4.27,115,1.5
F1-44,1개동 44층,1개동 · 동당 854㎡ · 44층,1,44,854.1,37580.0,400.0,9.1,64.9,84.7,80.3,84.4,66.3,3.39,4.26,104,1.41
F1-46,1개동 46층,1개동 · 동당 817㎡ · 46층,1,46,817.0,37580.0,400.0,8.7,67.9,85.3,80.6,85.0,66.2,3.33,4.25,100,1.38
F1-49,1개동 49층,1개동 · 동당 767㎡ · 49층,1,49,766.9,37580.0,400.0,8.2,72.3,85.0,80.9,84.6,67.8,3.23,4.25,102,1.43
F1-52,1개동 52층,1개동 · 동당 723㎡ · 52층,1,52,722.7,37580.0,400.0,7.7,76.7,85.3,81.0,84.7,68.5,3.14,4.25,100,1.4
F1-55,1개동 55층,1개동 · 동당 683㎡ · 55층,1,55,683.3,37580.0,400.0,7.3,81.1,85.3,81.2,84.9,69.1,3.1,4.25,100,1.4
F1-60,1개동 60층,1개동 · 동당 626㎡ · 59층,1,59,626.3,36953.7,393.3,6.7,87.0,85.1,80.9,84.6,69.3,3.06,4.26,101,1.44
F1-70,1개동 70층,1개동 · 동당 537㎡ · 70층,1,70,536.9,37580.0,400.0,5.7,103.2,85.4,81.5,85.1,70.0,2.98,4.27,99,1.4
F1-80,1개동 80층,1개동 · 동당 470㎡ · 80층,1,80,469.7,37580.0,400.0,5.0,118.0,85.4,81.5,85.1,70.6,2.99,4.29,99,1.4
F2-35,2개동 35층,2개동 · 동당 537㎡ · 35층,2,35,1073.7,37580.0,400.0,11.4,51.6,71.3,66.5,67.6,58.1,3.26,4.16,195,2.21
F2-40,2개동 40층,2개동 · 동당 470㎡ · 40층,2,40,939.5,37580.0,400.0,10.0,59.0,73.8,65.4,67.9,59.4,3.13,4.15,178,2.13
F2-44,2개동 44층,2개동 · 동당 427㎡ · 44층,2,44,854.1,37580.0,400.0,9.1,64.9,75.6,65.7,69.0,60.6,3.01,4.14,166,2.05
F2-46,2개동 46층,2개동 · 동당 408㎡ · 46층,2,46,817.0,37580.0,400.0,8.7,67.9,76.8,64.6,68.5,61.6,2.94,4.13,158,1.97
F2-49,2개동 49층,2개동 · 동당 383㎡ · 49층,2,49,766.9,37580.0,400.0,8.2,72.3,77.2,62.9,67.6,62.6,2.86,4.13,155,1.94
