family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,mean_total_h,min_short_m,label
단일+저층부,5 미세조정,41,41,124.95,22,43,37580,400.0,7329,44909,4133,43.99,0.292,4.114,8.71,41층 282㎡(32.4×8.7m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,41,41,124.95,22,44,37581,400.0,7329,44910,4133,43.99,0.372,4.106,8.71,41층 282㎡(32.4×8.7m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,40,40,122.0,22,39,37580,400.0,7218,44798,4133,43.99,0.076,4.133,8.99,40층 290㎡(32.3×9.0m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,40,40,122.0,22,40,37580,400.0,7258,44838,4133,43.99,0.099,4.127,8.84,40층 290㎡(32.8×8.8m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,40,40,122.0,22,40,37580,400.0,7078,44658,4133,43.99,0.19,4.123,9.59,40층 290㎡(30.3×9.6m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,40,40,122.0,22,40,37580,400.0,7353,44933,4133,43.99,0.152,4.118,8.51,40층 290㎡(34.1×8.5m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,40,40,122.0,22,41,37580,400.0,7353,44933,4133,43.99,0.188,4.118,8.51,40층 290㎡(34.1×8.5m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,40,40,122.0,22,43,37580,400.0,7353,44933,4133,43.99,0.327,4.112,8.51,40층 290㎡(34.1×8.5m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,39,39,119.05,22,43,37580,400.0,7009,44589,4133,43.99,0.246,4.127,9.74,39층 299㎡(30.7×9.7m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,39,39,119.05,22,40,37580,400.0,7186,44766,4133,43.99,0.163,4.121,8.98,39층 299㎡(33.3×9.0m) + 저층부 7층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,39,39,119.05,22,40,37580,400.0,7279,44859,4133,43.99,0.15,4.119,8.64,39층 299㎡(34.7×8.6m) + 저층부 7층 4000㎡(84.9×47.1m)
