family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,mean_total_h,min_short_m,label
단일,5 미세조정,20,20,63.0,54,19,37580,400.0,5830,43410,1974,21.01,0.048,3.91,28.71,20층 1879㎡(65.5×28.7m)
단일,5 미세조정,20,20,63.0,54,27,37580,400.0,5775,43355,1973,21.0,0.049,3.908,29.45,20층 1879㎡(63.8×29.5m)
단일,5 미세조정,20,20,63.0,54,27,37580,400.0,5888,43468,1975,21.02,0.061,3.901,27.98,20층 1879㎡(67.2×28.0m)
단일,5 미세조정,20,20,63.0,55,17,37580,400.0,5888,43468,1975,21.02,0.054,3.907,27.98,20층 1879㎡(67.2×28.0m)
단일,5 미세조정,20,20,63.0,55,27,37580,400.0,5830,43410,1974,21.01,0.055,3.906,28.71,20층 1879㎡(65.5×28.7m)
단일,5 미세조정,20,20,63.0,55,19,37580,400.0,6126,43706,1979,21.07,0.049,3.891,25.54,20층 1879㎡(73.6×25.5m)
단일,5 미세조정,20,20,63.0,56,17,37580,400.0,5919,43499,1976,21.03,0.057,3.906,27.62,20층 1879㎡(68.0×27.6m)
단일,5 미세조정,20,20,63.0,56,27,37580,400.0,5855,43435,1975,21.02,0.057,3.902,28.38,20층 1879㎡(66.2×28.4m)
단일,5 미세조정,20,20,63.0,57,27,37580,400.0,5652,43232,1971,20.98,0.052,3.917,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,57,27,37580,400.0,5888,43468,1975,21.02,0.054,3.902,27.98,20층 1879㎡(67.2×28.0m)
단일,5 미세조정,20,20,63.0,59,19,37580,400.0,5855,43435,1975,21.02,0.05,3.912,28.38,20층 1879㎡(66.2×28.4m)
단일,5 미세조정,20,20,63.0,59,27,37580,400.0,5721,43301,1972,20.99,0.057,3.904,30.26,20층 1879㎡(62.1×30.3m)
단일,5 미세조정,20,20,63.0,59,27,37580,400.0,5721,43301,1972,20.99,0.075,3.902,30.26,20층 1879㎡(62.1×30.3m)
단일,5 미세조정,20,20,63.0,59,27,37580,400.0,5830,43410,1974,21.01,0.062,3.894,28.71,20층 1879㎡(65.5×28.7m)
단일,5 미세조정,20,20,63.0,60,27,37580,400.0,5652,43232,1971,20.98,0.083,3.902,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,60,27,37580,400.0,5772,43352,1973,21.0,0.08,3.897,29.49,20층 1879㎡(63.7×29.5m)
단일,5 미세조정,20,20,63.0,60,17,37580,400.0,6054,43634,1978,21.05,0.058,3.897,26.21,20층 1879㎡(71.7×26.2m)
단일,5 미세조정,20,20,63.0,60,27,37580,400.0,5624,43204,1971,20.98,0.063,3.896,31.99,20층 1879㎡(58.7×32.0m)
단일,5 미세조정,20,20,63.0,61,27,37580,400.0,5652,43232,1971,20.98,0.055,3.915,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,61,21,37580,400.0,5721,43301,1972,20.99,0.068,3.908,30.26,20층 1879㎡(62.1×30.3m)
단일,5 미세조정,20,20,63.0,61,27,37580,400.0,5610,43190,1971,20.97,0.077,3.907,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,61,17,37580,400.0,5983,43563,1977,21.04,0.054,3.904,26.92,20층 1879㎡(69.8×26.9m)
단일,5 미세조정,20,20,63.0,61,27,37580,400.0,5772,43352,1973,21.0,0.066,3.901,29.49,20층 1879㎡(63.7×29.5m)
단일,5 미세조정,20,20,63.0,61,27,37580,400.0,5532,43112,1969,20.96,0.062,3.892,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,61,27,37580,400.0,5716,43296,1972,20.99,0.104,3.89,30.35,20층 1879㎡(61.9×30.3m)
단일,5 미세조정,20,20,63.0,61,27,37580,400.0,5772,43352,1973,21.0,0.098,3.887,29.49,20층 1879㎡(63.7×29.5m)
단일,5 미세조정,20,20,63.0,61,19,37580,400.0,6126,43706,1979,21.07,0.08,3.883,25.54,20층 1879㎡(73.6×25.5m)
단일,5 미세조정,20,20,63.0,62,25,37580,400.0,5669,43249,1971,20.98,0.057,3.913,31.14,20층 1879㎡(60.3×31.1m)
단일,5 미세조정,20,20,63.0,62,27,37580,400.0,5566,43146,1970,20.97,0.064,3.909,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,62,27,37580,400.0,5721,43301,1972,20.99,0.049,3.908,30.26,20층 1879㎡(62.1×30.3m)
단일,5 미세조정,20,20,63.0,62,27,37580,400.0,5610,43190,1971,20.97,0.07,3.907,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,62,30,37580,400.0,5697,43277,1972,20.99,0.059,3.906,30.65,20층 1879㎡(61.3×30.7m)
단일,5 미세조정,20,20,63.0,62,27,37580,400.0,5772,43352,1973,21.0,0.05,3.892,29.49,20층 1879㎡(63.7×29.5m)
단일,5 미세조정,20,20,63.0,63,27,37580,400.0,5532,43112,1969,20.96,0.056,3.923,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,63,17,37580,400.0,5983,43563,1977,21.04,0.055,3.916,26.92,20층 1879㎡(69.8×26.9m)
단일,5 미세조정,20,20,63.0,63,27,37580,400.0,5624,43204,1971,20.98,0.054,3.912,31.99,20층 1879㎡(58.7×32.0m)
단일,5 미세조정,20,20,63.0,63,25,37580,400.0,5652,43232,1971,20.98,0.069,3.907,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,63,27,37580,400.0,5566,43146,1970,20.97,0.069,3.906,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,63,23,37580,400.0,5772,43352,1973,21.0,0.07,3.902,29.49,20층 1879㎡(63.7×29.5m)
단일,5 미세조정,20,20,63.0,63,27,37580,400.0,5610,43190,1971,20.97,0.076,3.901,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,63,27,37580,400.0,5888,43468,1975,21.02,0.077,3.89,27.98,20층 1879㎡(67.2×28.0m)
단일,5 미세조정,20,20,63.0,63,27,37580,400.0,5772,43352,1973,21.0,0.081,3.879,29.49,20층 1879㎡(63.7×29.5m)
단일,5 미세조정,20,20,63.0,64,27,37580,400.0,5566,43146,1970,20.97,0.062,3.918,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,64,21,37580,400.0,5566,43146,1970,20.97,0.067,3.917,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,64,22,37580,400.0,5652,43232,1971,20.98,0.051,3.914,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,64,19,37580,400.0,5624,43204,1971,20.98,0.049,3.913,31.99,20층 1879㎡(58.7×32.0m)
단일,5 미세조정,20,20,63.0,64,21,37580,400.0,5775,43355,1973,21.0,0.073,3.905,29.45,20층 1879㎡(63.8×29.5m)
단일,5 미세조정,20,20,63.0,64,27,37580,400.0,5652,43232,1971,20.98,0.086,3.898,31.45,20층 1879㎡(59.8×31.4m)
