family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label,corridor_gap,pair_gap,swap
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,75,13,37580,400.0,11123,48703,2056,21.89,0.085,4.0,0.11,4,3.776,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.428403041441925,4.0,False
2x2쌍,2x2쌍 표,20+20+20+20,20,70.0,75,13,37580,400.0,11123,48703,2056,21.89,0.085,4.0,0.11,4,3.776,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.4,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,76,13,37580,400.0,11123,48703,2056,21.89,0.078,5.0,0.14,4,3.766,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.32329880600446,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,76,13,37580,400.0,11123,48703,2056,21.89,0.071,6.0,0.17,4,3.761,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),62.21819457056699,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,77,13,37580,400.0,11412,48992,2061,21.94,0.062,4.0,1.0,4,3.768,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),70.59558468491741,4.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,82,13,37580,400.0,11123,48703,2056,21.89,0.124,4.0,0.11,4,3.777,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),64.7567954961778,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,82,13,37580,400.0,11123,48703,2056,21.89,0.117,5.0,0.14,4,3.773,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),64.70438771679619,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,82,13,37580,400.0,11123,48703,2056,21.89,0.109,6.0,0.17,4,3.765,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),64.65197993761103,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,87,13,37580,400.0,11123,48703,2056,21.89,0.109,4.0,0.11,4,3.778,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),61.24119691266242,4.0,False
2x2쌍,2x2쌍,20+20+20+20,20,70.0,87,13,37580,400.0,11412,48992,2061,21.94,0.043,5.0,1.25,4,3.769,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),76.47068694187328,5.0,True
