family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,mean_total_h,min_short_m,label
단일,5 미세조정,20,20,63.0,83,28,37580,400.0,5447,43027,1968,20.95,0.272,3.858,37.0,20층 1879㎡(50.8×37.0m)
단일,5 미세조정,20,20,63.0,84,25,37580,400.0,5532,43112,1969,20.96,0.255,3.858,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,84,20,37580,400.0,5610,43190,1971,20.97,0.262,3.845,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,84,20,37580,400.0,5624,43204,1971,20.98,0.264,3.844,31.99,20층 1879㎡(58.7×32.0m)
단일,5 미세조정,20,20,63.0,85,21,37580,400.0,5584,43164,1970,20.97,0.259,3.857,32.82,20층 1879㎡(57.2×32.8m)
단일,5 미세조정,20,20,63.0,85,23,37580,400.0,5584,43164,1970,20.97,0.265,3.849,32.82,20층 1879㎡(57.2×32.8m)
단일,5 미세조정,20,20,63.0,85,19,37580,400.0,5624,43204,1971,20.98,0.271,3.843,31.99,20층 1879㎡(58.7×32.0m)
단일,5 미세조정,20,20,63.0,85,20,37580,400.0,5652,43232,1971,20.98,0.268,3.842,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,85,19,37580,400.0,5652,43232,1971,20.98,0.275,3.837,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,86,20,37580,400.0,5566,43146,1970,20.97,0.255,3.853,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,86,27,37580,400.0,5572,43152,1970,20.97,0.264,3.853,33.1,20층 1879㎡(56.8×33.1m)
단일,5 미세조정,20,20,63.0,86,21,37580,400.0,5610,43190,1971,20.97,0.269,3.845,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,86,25,37580,400.0,5566,43146,1970,20.97,0.262,3.844,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,87,25,37580,400.0,5470,43050,1968,20.95,0.272,3.864,36.06,20층 1879㎡(52.1×36.1m)
단일,5 미세조정,20,20,63.0,87,20,37580,400.0,5470,43050,1968,20.95,0.265,3.862,36.06,20층 1879㎡(52.1×36.1m)
단일,5 미세조정,20,20,63.0,87,19,37580,400.0,5447,43027,1968,20.95,0.258,3.862,37.0,20층 1879㎡(50.8×37.0m)
단일,5 미세조정,20,20,63.0,87,26,37580,400.0,5501,43081,1969,20.95,0.251,3.86,35.0,20층 1879㎡(53.7×35.0m)
단일,5 미세조정,20,20,63.0,87,27,37580,400.0,5532,43112,1969,20.96,0.257,3.855,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,87,22,37580,400.0,5652,43232,1971,20.98,0.256,3.853,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,87,21,37580,400.0,5652,43232,1971,20.98,0.267,3.849,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,87,25,37580,400.0,5532,43112,1969,20.96,0.256,3.847,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,87,24,37580,400.0,5566,43146,1970,20.97,0.254,3.842,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,87,26,37580,400.0,5584,43164,1970,20.97,0.296,3.842,32.82,20층 1879㎡(57.2×32.8m)
단일,5 미세조정,20,20,63.0,87,19,37580,400.0,5624,43204,1971,20.98,0.265,3.835,31.99,20층 1879㎡(58.7×32.0m)
단일,5 미세조정,20,20,63.0,87,19,37580,400.0,5652,43232,1971,20.98,0.269,3.833,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,87,19,37580,400.0,5669,43249,1971,20.98,0.271,3.83,31.14,20층 1879㎡(60.3×31.1m)
단일,5 미세조정,20,20,63.0,87,18,37580,400.0,5652,43232,1971,20.98,0.276,3.829,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,87,18,37580,400.0,5697,43277,1972,20.99,0.282,3.82,30.65,20층 1879㎡(61.3×30.7m)
단일,5 미세조정,20,20,63.0,88,20,37580,400.0,5447,43027,1968,20.95,0.258,3.868,37.0,20층 1879㎡(50.8×37.0m)
단일,5 미세조정,20,20,63.0,88,25,37580,400.0,5447,43027,1968,20.95,0.265,3.859,37.0,20층 1879㎡(50.8×37.0m)
단일,5 미세조정,20,20,63.0,88,26,37580,400.0,5501,43081,1969,20.95,0.28,3.858,35.0,20층 1879㎡(53.7×35.0m)
단일,5 미세조정,20,20,63.0,88,25,37580,400.0,5470,43050,1968,20.95,0.272,3.857,36.06,20층 1879㎡(52.1×36.1m)
단일,5 미세조정,20,20,63.0,88,28,37580,400.0,5501,43081,1969,20.95,0.255,3.857,35.0,20층 1879㎡(53.7×35.0m)
단일,5 미세조정,20,20,63.0,88,21,37580,400.0,5566,43146,1970,20.97,0.263,3.856,33.25,20층 1879㎡(56.5×33.2m)
단일,5 미세조정,20,20,63.0,88,20,37580,400.0,5470,43050,1968,20.95,0.268,3.856,36.06,20층 1879㎡(52.1×36.1m)
단일,5 미세조정,20,20,63.0,88,21,37580,400.0,5501,43081,1969,20.95,0.276,3.851,35.0,20층 1879㎡(53.7×35.0m)
단일,5 미세조정,20,20,63.0,88,20,37580,400.0,5470,43050,1968,20.95,0.269,3.85,36.06,20층 1879㎡(52.1×36.1m)
단일,5 미세조정,20,20,63.0,88,19,37580,400.0,5501,43081,1969,20.95,0.274,3.85,35.0,20층 1879㎡(53.7×35.0m)
단일,5 미세조정,20,20,63.0,88,21,37580,400.0,5669,43249,1971,20.98,0.269,3.847,31.14,20층 1879㎡(60.3×31.1m)
단일,5 미세조정,20,20,63.0,88,25,37580,400.0,5532,43112,1969,20.96,0.287,3.845,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,88,18,37580,400.0,5652,43232,1971,20.98,0.252,3.844,31.45,20층 1879㎡(59.8×31.4m)
단일,5 미세조정,20,20,63.0,88,19,37580,400.0,5532,43112,1969,20.96,0.28,3.844,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,88,18,37580,400.0,5610,43190,1971,20.97,0.27,3.837,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,88,26,37580,400.0,5610,43190,1971,20.97,0.3,3.836,32.26,20층 1879㎡(58.2×32.3m)
단일,5 미세조정,20,20,63.0,88,25,37580,400.0,5532,43112,1969,20.96,0.258,3.835,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,88,21,37580,400.0,5697,43277,1972,20.99,0.305,3.83,30.65,20층 1879㎡(61.3×30.7m)
단일,5 미세조정,20,20,63.0,88,19,37580,400.0,5584,43164,1970,20.97,0.259,3.828,32.82,20층 1879㎡(57.2×32.8m)
단일,5 미세조정,20,20,63.0,88,18,37580,400.0,5669,43249,1971,20.98,0.278,3.825,31.14,20층 1879㎡(60.3×31.1m)
단일,5 미세조정,20,20,63.0,89,21,37580,400.0,5532,43112,1969,20.96,0.25,3.862,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,89,20,37580,400.0,5447,43027,1968,20.95,0.261,3.858,37.0,20층 1879㎡(50.8×37.0m)
단일,5 미세조정,20,20,63.0,89,22,37580,400.0,5532,43112,1969,20.96,0.254,3.857,34.11,20층 1879㎡(55.1×34.1m)
단일,5 미세조정,20,20,63.0,89,25,37580,400.0,5501,43081,1969,20.95,0.28,3.852,35.0,20층 1879㎡(53.7×35.0m)
