family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,20,20,70.0,51,27,37580,400.0,5382,42962,1967,20.93,0.063,,,1,3.878,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,52,27,37580,400.0,5386,42966,1967,20.93,0.076,,,1,3.88,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,52,27,37580,400.0,5382,42962,1967,20.93,0.046,,,1,3.874,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,52,27,37580,400.0,5398,42978,1967,20.94,0.064,,,1,3.873,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,52,27,37580,400.0,5427,43007,1967,20.94,0.054,,,1,3.854,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,53,27,37580,400.0,5386,42966,1967,20.93,0.053,,,1,3.874,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,53,27,37580,400.0,5382,42962,1967,20.93,0.076,,,1,3.873,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,53,27,37580,400.0,5406,42986,1967,20.94,0.062,,,1,3.868,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,53,27,37580,400.0,5382,42962,1967,20.93,0.053,,,1,3.867,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5386,42966,1967,20.93,0.052,,,1,3.882,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5386,42966,1967,20.93,0.067,,,1,3.88,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5386,42966,1967,20.93,0.072,,,1,3.878,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5398,42978,1967,20.94,0.063,,,1,3.874,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5386,42966,1967,20.93,0.083,,,1,3.868,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5448,43028,1968,20.95,0.059,,,1,3.867,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5406,42986,1967,20.94,0.046,,,1,3.862,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,54,27,37580,400.0,5398,42978,1967,20.94,0.064,,,1,3.862,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5386,42966,1967,20.93,0.079,,,1,3.885,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5382,42962,1967,20.93,0.074,,,1,3.88,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5382,42962,1967,20.93,0.052,,,1,3.873,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5386,42966,1967,20.93,0.06,,,1,3.868,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5386,42966,1967,20.93,0.098,,,1,3.858,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5406,42986,1967,20.94,0.068,,,1,3.856,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5395,42975,1967,20.94,0.088,,,1,3.856,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,55,27,37580,400.0,5406,42986,1967,20.94,0.047,,,1,3.852,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5382,42962,1967,20.93,0.096,,,1,3.882,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5386,42966,1967,20.93,0.089,,,1,3.878,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5382,42962,1967,20.93,0.065,,,1,3.869,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5429,43009,1967,20.94,0.069,,,1,3.866,37.9,20층 1879㎡(49.6×37.9m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5398,42978,1967,20.94,0.092,,,1,3.866,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5427,43007,1967,20.94,0.077,,,1,3.866,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5406,42986,1967,20.94,0.091,,,1,3.863,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5420,43000,1967,20.94,0.068,,,1,3.85,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,56,27,37580,400.0,5420,43000,1967,20.94,0.084,,,1,3.844,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,57,27,37580,400.0,5382,42962,1967,20.93,0.103,,,1,3.875,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,57,27,37580,400.0,5398,42978,1967,20.94,0.115,,,1,3.864,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,57,27,37580,400.0,5448,43028,1968,20.95,0.078,,,1,3.849,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5386,42966,1967,20.93,0.085,,,1,3.884,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5406,42986,1967,20.94,0.051,,,1,3.874,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5386,42966,1967,20.93,0.047,,,1,3.874,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5382,42962,1967,20.93,0.118,,,1,3.871,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5382,42962,1967,20.93,0.125,,,1,3.869,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5406,42986,1967,20.94,0.118,,,1,3.861,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5420,43000,1967,20.94,0.127,,,1,3.858,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,58,27,37580,400.0,5420,43000,1967,20.94,0.055,,,1,3.841,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5395,42975,1967,20.94,0.045,,,1,3.883,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5406,42986,1967,20.94,0.046,,,1,3.882,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5382,42962,1967,20.93,0.057,,,1,3.882,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5429,43009,1967,20.94,0.055,,,1,3.878,37.9,20층 1879㎡(49.6×37.9m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5386,42966,1967,20.93,0.102,,,1,3.877,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5420,43000,1967,20.94,0.077,,,1,3.871,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5429,43009,1967,20.94,0.075,,,1,3.867,37.9,20층 1879㎡(49.6×37.9m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5500,43080,1969,20.95,0.073,,,1,3.858,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5406,42986,1967,20.94,0.096,,,1,3.858,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5448,43028,1968,20.95,0.11,,,1,3.857,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5395,42975,1967,20.94,0.107,,,1,3.857,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5406,42986,1967,20.94,0.091,,,1,3.856,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5448,43028,1968,20.95,0.103,,,1,3.855,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,59,27,37580,400.0,5427,43007,1967,20.94,0.104,,,1,3.848,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5386,42966,1967,20.93,0.08,,,1,3.876,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5406,42986,1967,20.94,0.096,,,1,3.866,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5386,42966,1967,20.93,0.105,,,1,3.864,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5448,43028,1968,20.95,0.079,,,1,3.862,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,60,27,37580,400.0,5500,43080,1969,20.95,0.061,,,1,3.843,35.04,20층 1879㎡(53.6×35.0m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5382,42962,1967,20.93,0.096,,,1,3.875,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5382,42962,1967,20.93,0.141,,,1,3.872,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5386,42966,1967,20.93,0.162,,,1,3.855,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5395,42975,1967,20.94,0.136,,,1,3.852,40.41,20층 1879㎡(46.5×40.4m)
단일,5 미세조정,20,20,70.0,61,27,37580,400.0,5427,43007,1967,20.94,0.156,,,1,3.845,38.01,20층 1879㎡(49.4×38.0m)
단일,5 미세조정,20,20,70.0,62,27,37580,400.0,5386,42966,1967,20.93,0.135,,,1,3.873,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,63,27,37580,400.0,5382,42962,1967,20.93,0.062,,,1,3.88,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,63,27,37580,400.0,5386,42966,1967,20.93,0.076,,,1,3.867,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,63,27,37580,400.0,5398,42978,1967,20.94,0.066,,,1,3.858,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5382,42962,1967,20.93,0.113,,,1,3.871,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5386,42966,1967,20.93,0.16,,,1,3.865,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5382,42962,1967,20.93,0.147,,,1,3.862,42.72,20층 1879㎡(44.0×42.7m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5420,43000,1967,20.94,0.045,,,1,3.859,38.39,20층 1879㎡(48.9×38.4m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5386,42966,1967,20.93,0.182,,,1,3.855,41.64,20층 1879㎡(45.1×41.6m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5448,43028,1968,20.95,0.138,,,1,3.853,36.94,20층 1879㎡(50.9×36.9m)
단일,5 미세조정,20,20,70.0,64,27,37580,400.0,5398,42978,1967,20.94,0.194,,,1,3.85,40.07,20층 1879㎡(46.9×40.1m)
단일,5 미세조정,20,20,70.0,65,27,37580,400.0,5386,42966,1967,20.93,0.151,,,1,3.87,45.16,20층 1879㎡(41.6×45.2m)
단일,5 미세조정,20,20,70.0,65,27,37580,400.0,5406,42986,1967,20.94,0.056,,,1,3.864,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,65,27,37580,400.0,5406,42986,1967,20.94,0.069,,,1,3.855,39.39,20층 1879㎡(47.7×39.4m)
단일,5 미세조정,20,20,70.0,66,27,37580,400.0,5382,42962,1967,20.93,0.068,,,1,3.879,42.72,20층 1879㎡(44.0×42.7m)
