번호,구분,종류,높이_m,바닥면적_㎡,출처,중심_E,중심_N
0,화랑 A안,hwarang,172.3,961.5,hwarang_hr_bld_nopod_2026,194327.7,546974.7
1,대교 대교 101-A,daegyo,145.6,346.0,대교 신축안,194051.43,547021.42
2,대교 대교 101-B,daegyo,130.8,149.3,대교 신축안,194059.38,547006.89
3,대교 대교 101-C,daegyo,104.3,164.2,대교 신축안,194068.91,547014.55
4,대교 대교 102-A,daegyo,145.6,325.6,대교 신축안,194132.81,546996.42
5,대교 대교 102-B,daegyo,139.7,162.8,대교 신축안,194143.66,546985.71
6,대교 대교 102-C,daegyo,104.3,162.8,대교 신축안,194120.73,546988.21
7,대교 대교 103-A,daegyo,127.9,346.0,대교 신축안,194138.63,546916.66
8,대교 대교 103-B,daegyo,127.9,164.2,대교 신축안,194145.4,546902.67
9,대교 대교 103-C,daegyo,104.3,164.2,대교 신축안,194155.38,546910.7
10,대교 대교 104-A,daegyo,130.8,325.6,대교 신축안,194207.25,546903.82
11,대교 대교 104-B,daegyo,130.8,162.8,대교 신축안,194218.1,546893.11
12,대교 대교 104-C,daegyo,104.3,162.8,대교 신축안,194194.44,546896.51
13,대교 대교 P-N1,daegyo,4.5,4846.7,대교 신축안,194180.67,546987.07
14,대교 대교 P-N2,daegyo,4.5,1367.7,대교 신축안,194115.16,547036.04
15,대교 대교 P-C1,daegyo,4.5,1910.5,대교 신축안,194149.23,546937.88
16,대교 대교 P-E1,daegyo,9.0,1108.6,대교 신축안,194185.29,546880.93
17,대교 대교 P-S1,daegyo,4.5,4509.4,대교 신축안,194115.12,546935.13
18,시범 시범 105동,sibeom,58.8,55.3,시범 신축안,194230.54,546791.76
19,시범 시범 105동,sibeom,58.8,226.8,시범 신축안,194238.82,546791.99
20,시범 시범 105동,sibeom,78.0,56.9,시범 신축안,194242.82,546768.48
21,시범 시범 105동,sibeom,78.0,141.2,시범 신축안,194253.28,546759.54
22,시범 시범 104동,sibeom,52.4,174.0,시범 신축안,194271.47,546819.89
23,시범 시범 104동,sibeom,65.2,160.5,시범 신축안,194293.05,546812.52
24,시범 시범 103동,sibeom,46.0,294.0,시범 신축안,194327.58,546867.73
25,시범 시범 103동,sibeom,55.6,92.1,시범 신축안,194338.86,546837.55
26,시범 시범 103동,sibeom,55.6,72.1,시범 신축안,194343.08,546839.6
