층,구분,바닥높이_m,층고_m,연면적_㎡,발코니_㎡
1,lobby,0.0,3.3,596.17,0.0
2,base,3.3,3.3,747.13,74.92
3,A,6.6,3.3,747.13,74.92
4,A,9.9,3.3,747.13,70.67
5,A,13.2,3.3,747.13,72.24
6,A,16.5,3.3,747.13,74.92
7,A,19.8,3.3,747.13,70.67
8,A,23.1,3.3,747.13,72.24
9,A,26.4,3.3,747.13,74.92
10,A,29.7,3.3,747.13,70.67
11,A,33.0,3.3,747.13,72.24
12,A,36.3,3.3,747.13,74.92
13,A,39.6,3.3,747.13,70.67
14,A,42.9,3.3,747.13,72.24
15,A,46.2,3.3,747.13,74.92
16,A,49.5,3.3,747.13,70.67
17,A,52.8,3.3,747.13,72.24
18,sky,56.1,3.3,648.12,0.0
19,B,59.4,3.3,747.13,74.92
20,B,62.7,3.3,747.13,70.67
21,B,66.0,3.3,747.13,72.24
22,B,69.3,3.3,747.13,74.92
23,B,72.6,3.3,747.13,70.67
24,B,75.9,3.3,747.13,72.24
25,B,79.2,3.3,747.13,74.92
26,B,82.5,3.3,747.13,70.67
27,B,85.8,3.3,747.13,72.24
28,B,89.1,3.3,747.13,74.92
29,B,92.4,3.3,747.13,70.67
30,B,95.7,3.3,747.13,72.24
31,B,99.0,3.3,747.13,74.92
32,B,102.3,3.3,747.13,70.67
33,B,105.6,3.3,747.13,72.24
34,B,108.9,3.3,747.13,74.92
35,sky,112.2,3.3,648.12,0.0
36,C,115.5,3.3,747.13,74.92
37,C,118.8,3.3,747.13,72.24
38,C,122.1,3.3,747.13,70.67
39,C,125.4,3.3,747.13,74.92
40,C,128.7,3.3,747.13,72.24
41,C,132.0,3.3,747.13,70.67
42,C,135.3,3.3,747.13,74.92
43,C,138.6,3.3,747.13,72.24
44,C,141.9,3.3,747.13,70.67
45,C,145.2,3.3,747.13,74.92
46,C,148.5,3.3,747.13,72.24
47,C,151.8,3.3,747.13,70.67
48,C,155.1,3.3,747.13,74.92
49,C,158.4,3.3,747.13,72.24
50,crown1,161.7,3.3,673.32,0.0
51,crown2,165.0,3.3,646.33,0.0
합계,,,,37580.0,3346.64
