순위,코드,계열,형상,장단비,발코니,내부기준층㎡,건축면적㎡,외형㎡,서비스면적㎡,연면적㎡,용적률%,건폐율%,동서폭m,이격m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,학교30-1%,학교40-1%,학교40-2%,학교40-3%
1,R016,직사각형,직사각형 2:1 / 회전 105° / 발코니 장변2면,2.0,장변2면,683.3,720.2,794.2,6099.5,37580.0,400.0,7.67,30.3,8.8,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
2,R015,직사각형,직사각형 2:1 / 회전 105° / 발코니 4면,2.0,4면,683.3,739.7,858.6,9644.3,37580.0,400.0,7.87,31.1,7.5,가능,85.6,81.8,2.9,-3.2,81.6,85.5,84.8,100.0
3,X155,타원,타원 2:1 / 회전 120° / 발코니 4면,1.88,4면,683.3,734.6,842.0,8730.9,37580.0,400.0,7.82,30.6,7.8,가능,85.3,81.5,2.6,-4.4,82.1,84.3,84.8,100.0
4,X153,타원,타원 2:1 / 회전 90° / 발코니 4면,1.88,4면,683.3,734.6,842.0,8730.9,37580.0,400.0,7.82,23.9,10.9,가능,85.6,81.8,2.9,-3.2,81.6,85.5,84.8,100.0
5,X154,타원,타원 2:1 / 회전 105° / 발코니 4면,1.88,4면,683.3,734.6,842.0,8730.9,37580.0,400.0,7.82,25.9,8.9,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
6,X130,팔각형,모서리컷 팔각형 2:1 / 회전 105° / 발코니 4면,1.86,4면,683.3,737.3,850.2,9181.5,37580.0,400.0,7.85,29.7,8.5,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
7,R089,직사각형,직사각형 2.5:1 / 회전 105° / 발코니 4면,2.5,4면,683.3,742.1,865.9,10042.3,37580.0,400.0,7.9,30.3,5.8,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
8,R090,직사각형,직사각형 2.5:1 / 회전 105° / 발코니 장변2면,2.5,장변2면,683.3,724.6,807.3,6819.5,37580.0,400.0,7.71,29.6,7.2,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
9,R113,직사각형,직사각형 3:1 / 회전 105° / 발코니 4면,3.0,4면,683.3,744.6,873.4,10455.5,37580.0,400.0,7.93,30.0,4.3,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
10,R114,직사각형,직사각형 3:1 / 회전 105° / 발코니 장변2면,3.0,장변2면,683.3,728.5,819.1,7470.4,37580.0,400.0,7.75,29.2,5.7,가능,85.7,81.9,3.1,-3.2,82.1,85.5,84.8,100.0
11,X160,V(<)형,'<' 벌림 140° / 회전 15° / 발코니 4면,2.71,4면,683.3,762.2,924.4,13262.1,37580.0,400.0,8.11,31.9,0.0,초과,85.3,81.5,2.6,-4.4,82.1,84.3,84.8,100.0
12,R014,직사각형,직사각형 2:1 / 회전 90° / 발코니 장변2면,2.0,장변2면,683.3,720.2,794.2,6099.5,37580.0,400.0,7.67,21.5,8.9,가능,85.0,81.2,2.4,-4.0,80.7,84.7,84.8,100.0
13,R013,직사각형,직사각형 2:1 / 회전 90° / 발코니 4면,2.0,4면,683.3,739.7,858.6,9644.3,37580.0,400.0,7.87,21.5,7.7,가능,84.9,81.0,2.2,-4.0,80.2,84.7,84.8,100.0
14,R017,직사각형,직사각형 2:1 / 회전 120° / 발코니 4면,2.0,4면,683.3,739.7,858.6,9644.3,37580.0,400.0,7.87,38.6,8.8,가능,84.9,80.3,2.2,-5.2,81.6,83.5,84.8,100.0
