순위,구성,전용면적합㎡(1행),전면폭합m,남는길이m,평형수
1,102A×2,216.24,35.4,1.57,1
2,102A×1 + 93A×1,206.7,33.9,3.07,2
3,102A×1 + 88A×1,201.4,31.5,5.47,2
4,102A×1 + 84B×1,197.16,31.5,5.47,2
5,93A×2,197.16,32.4,4.57,1
6,88A×1 + 93A×1,191.86,30.0,6.97,2
7,84B×1 + 93A×1,187.62,30.0,6.97,2
8,88A×2,186.56,27.6,9.37,1
9,84B×1 + 88A×1,182.32,27.6,9.37,2
10,84B×2,178.08,27.6,9.37,1
11,102A×1,108.12,17.7,19.27,1
12,93A×1,98.58,16.2,20.77,1
13,88A×1,93.28,13.8,23.17,1
14,84B×1,89.04,13.8,23.17,1
15,(공백),0,0.0,36.97,0
