family,stage,floors,top_floors,height_m,new_fail,new_ok,new_fail_bld,new_ok_bld,new_fail_pg,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,51,51,172.3,73,36,33,17,40,37580,400.0,11454,49034,810,8.62,0.041,,,1,3.487,12.39,51층 737㎡(59.5×12.4m)
단일,5 미세조정,54,54,182.2,74,36,33,17,41,37580,400.0,11009,48589,762,8.11,0.05,,,1,3.503,13.53,54층 696㎡(51.4×13.5m)
단일,5 미세조정,53,53,178.9,74,36,33,17,41,37580,400.0,10902,48482,776,8.26,0.049,,,1,3.501,13.66,53층 709㎡(51.9×13.7m)
단일,5 미세조정,53,53,178.9,74,33,33,14,41,37580,400.0,11685,49265,781,8.31,0.04,,,1,3.496,12.15,53층 709㎡(58.3×12.2m)
단일,5 미세조정,54,54,182.2,74,34,33,14,41,37580,400.0,11613,49193,766,8.15,0.068,,,1,3.492,12.35,54층 696㎡(56.3×12.4m)
단일,5 미세조정,55,55,185.5,74,33,33,14,41,37580,400.0,12643,50223,758,8.07,0.043,,,1,3.48,10.89,55층 683㎡(62.7×10.9m)
단일,5 미세조정,53,53,178.9,75,36,33,17,42,37580,400.0,10133,47713,771,8.2,0.044,,,1,3.508,15.77,53층 709㎡(45.0×15.8m)
단일,5 미세조정,53,53,178.9,75,36,33,17,42,37580,400.0,10255,47835,772,8.21,0.04,,,1,3.506,15.37,53층 709㎡(46.1×15.4m)
단일,5 미세조정,50,50,169.0,75,36,33,17,42,37580,400.0,10731,48311,821,8.74,0.037,,,1,3.497,13.71,50층 752㎡(54.8×13.7m)
단일,5 미세조정,50,50,169.0,75,34,33,14,42,37580,400.0,11337,48917,825,8.78,0.055,,,1,3.491,12.51,50층 752㎡(60.1×12.5m)
단일,5 미세조정,50,50,169.0,76,36,33,17,43,37580,400.0,10420,48000,819,8.72,0.04,,,1,3.498,14.45,50층 752㎡(52.0×14.4m)
단일,5 미세조정,55,55,185.5,76,36,33,17,43,37580,400.0,11342,48922,750,7.98,0.028,,,1,3.49,12.94,55층 683㎡(52.8×12.9m)
단일,5 미세조정,54,54,182.2,73,37,34,17,39,37580,400.0,11170,48750,763,8.12,0.07,,,1,3.504,13.19,54층 696㎡(52.8×13.2m)
단일,5 미세조정,53,53,178.9,73,37,34,17,39,37580,400.0,11062,48642,777,8.27,0.07,,,1,3.501,13.31,53층 709㎡(53.3×13.3m)
단일,5 미세조정,54,54,182.2,74,34,34,14,40,37580,400.0,10684,48264,760,8.09,0.087,,,1,3.505,14.31,54층 696㎡(48.6×14.3m)
단일,5 미세조정,52,52,175.6,74,37,34,17,40,37580,400.0,10643,48223,789,8.4,0.073,,,1,3.505,14.15,52층 723㎡(51.1×14.1m)
단일,5 미세조정,54,54,182.2,74,36,34,17,40,37580,400.0,11234,48814,763,8.12,0.064,,,1,3.502,13.06,54층 696㎡(53.3×13.1m)
단일,5 미세조정,54,54,182.2,74,34,34,14,40,37580,400.0,11425,49005,764,8.14,0.074,,,1,3.495,12.69,54층 696㎡(54.8×12.7m)
단일,5 미세조정,54,54,182.2,74,34,34,14,40,37580,400.0,12523,50103,771,8.21,0.062,,,1,3.479,10.99,54층 696㎡(63.3×11.0m)
단일,5 미세조정,54,54,182.2,75,34,34,14,41,37580,400.0,11425,49005,764,8.14,0.07,,,1,3.497,12.69,54층 696㎡(54.8×12.7m)
단일,5 미세조정,50,50,169.0,75,36,34,17,41,37580,400.0,11157,48737,824,8.77,0.044,,,1,3.492,12.84,50층 752㎡(58.5×12.8m)
단일,5 미세조정,51,51,172.3,75,34,34,14,41,37580,400.0,11273,48853,809,8.61,0.073,,,1,3.489,12.71,51층 737㎡(58.0×12.7m)
단일,5 미세조정,51,51,172.3,75,34,34,14,41,37580,400.0,11454,49034,810,8.62,0.071,,,1,3.487,12.39,51층 737㎡(59.5×12.4m)
단일,5 미세조정,49,49,165.7,75,34,34,14,41,37580,400.0,11908,49488,846,9.0,0.04,,,1,3.469,11.54,49층 767㎡(66.5×11.5m)
단일,5 미세조정,54,54,182.2,76,33,34,14,42,37580,400.0,11234,48814,763,8.12,0.039,,,1,3.503,13.06,54층 696㎡(53.3×13.1m)
단일,5 미세조정,51,51,172.3,76,34,34,14,42,37580,400.0,10904,48484,806,8.58,0.076,,,1,3.497,13.44,51층 737㎡(54.8×13.4m)
단일,5 미세조정,49,49,165.7,76,34,34,14,42,37580,400.0,11041,48621,840,8.94,0.06,,,1,3.494,12.97,49층 767㎡(59.1×13.0m)
단일,5 미세조정,55,55,185.5,76,37,34,17,42,37580,400.0,11535,49115,751,8.0,0.069,,,1,3.484,12.58,55층 683㎡(54.3×12.6m)
단일,5 미세조정,54,54,182.2,77,36,34,17,43,37580,400.0,11009,48589,762,8.11,0.032,,,1,3.493,13.53,54층 696㎡(51.4×13.5m)
단일,5 미세조정,55,55,185.5,77,37,34,17,43,37580,400.0,12209,49789,755,8.04,0.062,,,1,3.475,11.48,55층 683㎡(59.5×11.5m)
단일,5 미세조정,54,54,182.2,78,37,34,17,44,37580,400.0,12093,49673,769,8.18,0.061,,,1,3.472,11.59,54층 696㎡(60.1×11.6m)
단일,5 미세조정,53,53,178.9,72,33,35,14,37,37580,400.0,11501,49081,779,8.3,0.05,,,1,3.504,12.47,53층 709㎡(56.9×12.5m)
단일,5 미세조정,52,52,175.6,72,36,35,17,37,37580,400.0,11034,48614,791,8.42,0.044,,,1,3.502,13.27,52층 723㎡(54.5×13.3m)
단일,5 미세조정,54,54,182.2,72,36,35,17,37,37580,400.0,11425,49005,764,8.14,0.049,,,1,3.499,12.69,54층 696㎡(54.8×12.7m)
단일,5 미세조정,54,54,182.2,73,33,35,14,38,37580,400.0,11425,49005,764,8.14,0.068,,,1,3.505,12.69,54층 696㎡(54.8×12.7m)
단일,5 미세조정,52,52,175.6,73,34,35,14,38,37580,400.0,11202,48782,793,8.44,0.06,,,1,3.489,12.93,52층 723㎡(55.9×12.9m)
단일,5 미세조정,53,53,178.9,76,34,35,14,41,37580,400.0,10902,48482,776,8.26,0.065,,,1,3.502,13.66,53층 709㎡(51.9×13.7m)
단일,5 미세조정,54,54,182.2,76,34,35,14,41,37580,400.0,11009,48589,762,8.11,0.066,,,1,3.501,13.53,54층 696㎡(51.4×13.5m)
단일,5 미세조정,50,50,169.0,76,34,35,14,41,37580,400.0,11157,48737,824,8.77,0.073,,,1,3.488,12.84,50층 752㎡(58.5×12.8m)
단일,5 미세조정,55,55,185.5,73,33,36,14,37,37580,400.0,10960,48540,748,7.96,0.081,,,1,3.509,13.76,55층 683㎡(49.7×13.8m)
단일,5 미세조정,54,54,182.2,73,36,36,17,37,37580,400.0,11234,48814,763,8.12,0.051,,,1,3.498,13.06,54층 696㎡(53.3×13.1m)
단일,5 미세조정,54,54,182.2,73,37,36,17,37,37580,400.0,10684,48264,760,8.09,0.059,,,1,3.488,14.31,54층 696㎡(48.6×14.3m)
단일,5 미세조정,52,52,175.6,73,33,36,14,37,37580,400.0,12280,49860,799,8.51,0.038,,,1,3.485,11.2,52층 723㎡(64.5×11.2m)
단일,5 미세조정,54,54,182.2,73,39,36,16,37,37580,400.0,11800,49380,767,8.16,0.028,,,1,3.475,12.04,54층 696㎡(57.8×12.0m)
단일,5 미세조정,55,55,185.5,74,34,36,14,38,37580,400.0,11115,48695,749,7.97,0.071,,,1,3.514,13.41,55층 683㎡(51.0×13.4m)
단일,5 미세조정,54,54,182.2,74,33,36,14,38,37580,400.0,11800,49380,767,8.16,0.066,,,1,3.5,12.04,54층 696㎡(57.8×12.0m)
단일,5 미세조정,51,51,172.3,74,33,36,14,38,37580,400.0,11454,49034,810,8.62,0.062,,,1,3.496,12.39,51층 737㎡(59.5×12.4m)
단일,5 미세조정,52,52,175.6,74,33,36,14,38,37580,400.0,11858,49438,797,8.48,0.054,,,1,3.492,11.81,52층 723㎡(61.2×11.8m)
단일,5 미세조정,51,51,172.3,75,33,36,14,39,37580,400.0,10904,48484,806,8.58,0.06,,,1,3.504,13.44,51층 737㎡(54.8×13.4m)
단일,5 미세조정,50,50,169.0,75,33,36,14,39,37580,400.0,11157,48737,824,8.77,0.043,,,1,3.499,12.84,50층 752㎡(58.5×12.8m)
단일,5 미세조정,52,52,175.6,75,38,36,16,39,37580,400.0,11570,49150,795,8.46,0.038,,,1,3.471,12.27,52층 723㎡(58.9×12.3m)
단일,5 미세조정,54,54,182.2,76,36,36,17,40,37580,400.0,10356,47936,758,8.07,0.043,,,1,3.515,15.23,54층 696㎡(45.7×15.2m)
단일,5 미세조정,51,51,172.3,76,34,36,14,40,37580,400.0,10370,47950,803,8.54,0.092,,,1,3.5,14.72,51층 737㎡(50.1×14.7m)
단일,5 미세조정,53,53,178.9,76,37,36,17,40,37580,400.0,11314,48894,778,8.28,0.051,,,1,3.477,12.81,53층 709㎡(55.3×12.8m)
단일,5 미세조정,55,55,185.5,77,37,36,17,41,37580,400.0,10083,47663,742,7.9,0.073,,,1,3.507,16.37,55층 683㎡(41.7×16.4m)
단일,5 미세조정,53,53,178.9,77,37,36,17,41,37580,400.0,10442,48022,773,8.22,0.075,,,1,3.494,14.82,53층 709㎡(47.9×14.8m)
단일,5 미세조정,51,51,172.3,77,37,36,17,41,37580,400.0,10686,48266,805,8.57,0.066,,,1,3.486,13.93,51층 737㎡(52.9×13.9m)
단일,5 미세조정,52,52,175.6,77,37,36,17,41,37580,400.0,10794,48374,790,8.41,0.067,,,1,3.486,13.79,52층 723㎡(52.4×13.8m)
단일,5 미세조정,51,51,172.3,77,37,36,17,41,37580,400.0,10842,48422,806,8.58,0.057,,,1,3.481,13.57,51층 737㎡(54.3×13.6m)
단일,5 미세조정,51,51,172.3,77,37,36,17,41,37580,400.0,11454,49034,810,8.62,0.05,,,1,3.472,12.39,51층 737㎡(59.5×12.4m)
단일,5 미세조정,53,53,178.9,78,37,36,17,42,37580,400.0,12402,49982,785,8.36,0.042,,,1,3.459,11.1,53층 709㎡(63.9×11.1m)
단일,5 미세조정,50,50,169.0,79,34,36,14,43,37580,400.0,10420,48000,819,8.72,0.078,,,1,3.497,14.45,50층 752㎡(52.0×14.4m)
단일,5 미세조정,53,53,178.9,79,36,36,17,43,37580,400.0,10750,48330,775,8.25,0.035,,,1,3.495,14.01,53층 709㎡(50.6×14.0m)
단일,5 미세조정,52,52,175.6,79,36,36,17,43,37580,400.0,11570,49150,795,8.46,0.046,,,1,3.473,12.27,52층 723㎡(58.9×12.3m)
단일,5 미세조정,48,48,162.4,79,36,36,17,43,37580,400.0,11781,49361,863,9.18,0.037,,,1,3.458,11.66,48층 783㎡(67.2×11.7m)
단일,5 미세조정,53,53,178.9,80,36,36,17,44,37580,400.0,11501,49081,779,8.3,0.034,,,1,3.481,12.47,53층 709㎡(56.9×12.5m)
단일,5 미세조정,52,52,175.6,65,38,37,22,28,37580,400.0,9652,47232,783,8.33,0.018,,,1,3.592,17.44,52층 723㎡(41.4×17.4m)
단일,5 미세조정,53,53,178.9,67,38,37,22,30,37580,400.0,9553,47133,767,8.17,0.024,,,1,3.584,18.27,53층 709㎡(38.8×18.3m)
단일,5 미세조정,52,52,175.6,67,38,37,22,30,37580,400.0,9458,47038,781,8.32,0.024,,,1,3.584,18.44,52층 723㎡(39.2×18.4m)
단일,5 미세조정,51,51,172.3,68,38,37,22,31,37580,400.0,9362,46942,796,8.47,0.029,,,1,3.594,18.62,51층 737㎡(39.6×18.6m)
단일,5 미세조정,55,55,185.5,72,35,37,13,35,37580,400.0,11115,48695,749,7.97,0.07,,,1,3.502,13.41,55층 683㎡(51.0×13.4m)
단일,5 미세조정,54,54,182.2,73,38,37,16,36,37580,400.0,10684,48264,760,8.09,0.034,,,1,3.506,14.31,54층 696㎡(48.6×14.3m)
단일,5 미세조정,55,55,185.5,74,35,37,16,37,37580,400.0,10960,48540,748,7.96,0.059,,,1,3.514,13.76,55층 683㎡(49.7×13.8m)
단일,5 미세조정,55,55,185.5,74,36,37,17,37,37580,400.0,10952,48532,748,7.96,0.053,,,1,3.506,13.78,55층 683㎡(49.6×13.8m)
단일,5 미세조정,53,53,178.9,74,36,37,17,37,37580,400.0,11125,48705,777,8.27,0.05,,,1,3.497,13.18,53층 709㎡(53.8×13.2m)
단일,5 미세조정,50,50,169.0,74,36,37,17,37,37580,400.0,11337,48917,825,8.78,0.043,,,1,3.485,12.51,50층 752㎡(60.1×12.5m)
단일,5 미세조정,52,52,175.6,75,33,37,14,38,37580,400.0,10475,48055,788,8.39,0.07,,,1,3.512,14.58,52층 723㎡(49.6×14.6m)
단일,5 미세조정,54,54,182.2,75,36,37,16,38,37580,400.0,10232,47812,757,8.06,0.087,,,1,3.509,15.63,54층 696㎡(44.5×15.6m)
단일,5 미세조정,52,52,175.6,75,34,37,14,38,37580,400.0,10794,48374,790,8.41,0.062,,,1,3.508,13.79,52층 723㎡(52.4×13.8m)
단일,5 미세조정,51,51,172.3,75,34,37,14,38,37580,400.0,10842,48422,806,8.58,0.06,,,1,3.503,13.57,51층 737㎡(54.3×13.6m)
단일,5 미세조정,55,55,185.5,75,37,37,17,38,37580,400.0,10787,48367,747,7.95,0.068,,,1,3.503,14.18,55층 683㎡(48.2×14.2m)
단일,5 미세조정,52,52,175.6,75,37,37,17,38,37580,400.0,11570,49150,795,8.46,0.054,,,1,3.489,12.27,52층 723㎡(58.9×12.3m)
단일,5 미세조정,51,51,172.3,75,36,37,17,38,37580,400.0,11454,49034,810,8.62,0.053,,,1,3.488,12.39,51층 737㎡(59.5×12.4m)
단일,5 미세조정,50,50,169.0,75,35,37,16,38,37580,400.0,11337,48917,825,8.78,0.054,,,1,3.486,12.51,50층 752㎡(60.1×12.5m)
단일,5 미세조정,53,53,178.9,75,37,37,17,38,37580,400.0,11314,48894,778,8.28,0.027,,,1,3.486,12.81,53층 709㎡(55.3×12.8m)
단일,5 미세조정,52,52,175.6,76,35,37,16,39,37580,400.0,10032,47612,785,8.36,0.088,,,1,3.51,15.92,52층 723㎡(45.4×15.9m)
단일,5 미세조정,54,54,182.2,76,34,37,14,39,37580,400.0,10553,48133,759,8.08,0.097,,,1,3.51,14.66,54층 696㎡(47.5×14.7m)
단일,5 미세조정,50,50,169.0,76,33,37,14,39,37580,400.0,9828,47408,815,8.68,0.088,,,1,3.507,16.24,50층 752㎡(46.3×16.2m)
단일,5 미세조정,51,51,172.3,76,33,37,13,39,37580,400.0,10528,48108,804,8.55,0.083,,,1,3.505,14.31,51층 737㎡(51.5×14.3m)
단일,5 미세조정,53,53,178.9,76,33,37,13,39,37580,400.0,10902,48482,776,8.26,0.09,,,1,3.5,13.66,53층 709㎡(51.9×13.7m)
단일,5 미세조정,51,51,172.3,76,36,37,17,39,37580,400.0,11454,49034,810,8.62,0.058,,,1,3.486,12.39,51층 737㎡(59.5×12.4m)
단일,5 미세조정,54,54,182.2,76,36,37,17,39,37580,400.0,11800,49380,767,8.16,0.035,,,1,3.481,12.04,54층 696㎡(57.8×12.0m)
단일,5 미세조정,54,54,182.2,77,36,37,14,40,37580,400.0,11170,48750,763,8.12,0.063,,,1,3.489,13.19,54층 696㎡(52.8×13.2m)
단일,5 미세조정,52,52,175.6,77,37,37,16,40,37580,400.0,11202,48782,793,8.44,0.053,,,1,3.481,12.93,52층 723㎡(55.9×12.9m)
단일,5 미세조정,52,52,175.6,77,36,37,16,40,37580,400.0,11570,49150,795,8.46,0.053,,,1,3.472,12.27,52층 723㎡(58.9×12.3m)
단일,5 미세조정,52,52,175.6,78,35,37,16,41,37580,400.0,10032,47612,785,8.36,0.067,,,1,3.511,15.92,52층 723㎡(45.4×15.9m)
단일,5 미세조정,51,51,172.3,78,35,37,16,41,37580,400.0,10242,47822,802,8.53,0.053,,,1,3.51,15.08,51층 737㎡(48.9×15.1m)
단일,5 미세조정,47,47,159.1,78,34,37,14,41,37580,400.0,10978,48558,875,9.32,0.067,,,1,3.485,12.91,47층 800㎡(62.0×12.9m)
단일,5 미세조정,49,49,165.7,78,34,37,14,41,37580,400.0,11218,48798,841,8.95,0.06,,,1,3.482,12.64,49층 767㎡(60.7×12.6m)
단일,5 미세조정,54,54,182.2,80,34,37,15,43,37580,400.0,10545,48125,759,8.08,0.04,,,1,3.51,14.68,54층 696㎡(47.4×14.7m)
단일,5 미세조정,53,53,178.9,80,34,37,15,43,37580,400.0,10580,48160,774,8.23,0.034,,,1,3.506,14.44,53층 709㎡(49.1×14.4m)
단일,5 미세조정,54,54,182.2,80,37,37,17,43,37580,400.0,11009,48589,762,8.11,0.079,,,1,3.488,13.53,54층 696㎡(51.4×13.5m)
단일,5 미세조정,49,49,165.7,80,36,37,16,43,37580,400.0,11498,49078,843,8.97,0.048,,,1,3.465,12.16,49층 767㎡(63.1×12.2m)
단일,5 미세조정,53,53,178.9,81,34,37,14,44,37580,400.0,10255,47835,772,8.21,0.056,,,1,3.509,15.37,53층 709㎡(46.1×15.4m)
단일,5 미세조정,55,55,185.5,82,37,37,17,45,37580,400.0,11913,49493,753,8.02,0.036,,,1,3.484,11.93,55층 683㎡(57.3×11.9m)
단일,5 미세조정,52,52,175.6,83,37,37,17,46,37580,400.0,11858,49438,797,8.48,0.034,,,1,3.473,11.81,52층 723㎡(61.2×11.8m)
