family,stage,floors,top_floors,height_m,new_fail,new_ok,new_fail_bld,new_ok_bld,new_fail_pg,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label,design
단일+저층부,5 미세조정,53,53,178.9,60,39,26,17,34,37580,400.0,8674,46254,4133,43.99,0.121,inf,inf,2,3.631,11.6,53층 366㎡(31.6×11.6m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[366.25, 2.7216, 170.0, 194327.6, 546973.9, 53]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,55,55,185.5,60,39,26,17,34,37580,400.0,8660,46240,4133,43.99,0.124,inf,inf,2,3.63,12.05,55층 352㎡(29.2×12.0m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[351.6, 2.4225, 172.0, 194327.6, 546972.4, 55]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,52,52,175.6,60,37,26,17,34,37580,400.0,8667,46247,4133,43.99,0.127,inf,inf,2,3.629,11.46,52층 374㎡(32.6×11.5m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[374.04, 2.85, 172.0, 194327.6, 546972.4, 52]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,55,55,185.5,60,37,26,17,34,37580,400.0,8712,46292,4133,43.99,0.136,inf,inf,2,3.629,11.81,55층 352㎡(29.8×11.8m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[351.6, 2.52, 170.0, 194327.6, 546968.9, 55]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,53,53,178.9,61,39,26,17,35,37580,400.0,8517,46097,4133,43.99,0.117,inf,inf,2,3.629,12.3,53층 366㎡(29.8×12.3m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[366.25, 2.4225, 172.0, 194327.6, 546974.9, 53]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,55,55,185.5,60,37,27,17,33,37580,400.0,8712,46292,4133,43.99,0.116,inf,inf,2,3.635,11.81,55층 352㎡(29.8×11.8m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[351.6, 2.52, 170.0, 194330.1, 546971.4, 55]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,50,50,169.0,61,37,27,17,34,37580,400.0,8516,46096,4133,43.99,0.132,inf,inf,2,3.628,11.71,50층 391㎡(33.4×11.7m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[390.67, 2.85, 172.0, 194327.6, 546969.9, 50]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,51,51,172.3,61,37,27,17,34,37580,400.0,8592,46172,4133,43.99,0.132,inf,inf,2,3.628,11.58,51층 382㎡(33.0×11.6m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[382.17, 2.85, 172.0, 194327.6, 546969.9, 51]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,52,52,175.6,62,37,27,17,35,37580,400.0,8600,46180,4133,43.99,0.114,inf,inf,2,3.631,11.72,52층 374㎡(31.9×11.7m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[374.04, 2.7216, 170.0, 194330.1, 546968.9, 52]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,52,52,175.6,62,37,27,17,35,37580,400.0,8600,46180,4133,43.99,0.119,inf,inf,2,3.631,11.72,52층 374㎡(31.9×11.7m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[374.04, 2.7216, 170.0, 194330.1, 546971.4, 52]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,53,53,178.9,62,37,27,17,35,37580,400.0,8742,46322,4133,43.99,0.109,inf,inf,2,3.623,11.34,53층 366㎡(32.3×11.3m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[366.25, 2.85, 172.0, 194327.6, 546967.4, 53]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,51,51,172.3,62,37,27,17,35,37580,400.0,8710,46290,4133,43.99,0.103,inf,inf,2,3.622,11.14,51층 382㎡(34.3×11.1m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[382.17, 3.078, 172.0, 194327.6, 546967.4, 51]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,53,53,178.9,62,37,27,17,35,37580,400.0,8834,46414,4133,43.99,0.113,inf,inf,2,3.621,11.01,53층 366㎡(33.3×11.0m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[366.25, 3.024, 174.0, 194327.6, 546968.9, 53]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,49,49,165.7,62,37,27,17,35,37580,400.0,8554,46134,4133,43.99,0.103,inf,inf,2,3.62,11.39,49층 400㎡(35.1×11.4m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[399.55, 3.078, 172.0, 194327.6, 546967.4, 49]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,52,52,175.6,62,37,27,17,35,37580,400.0,8593,46173,4133,43.99,0.112,inf,inf,2,3.619,11.75,52층 374㎡(31.8×11.8m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[374.04, 2.7075, 172.0, 194327.6, 546967.4, 52]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,55,55,185.5,62,41,27,17,35,37580,400.0,8813,46393,4133,43.99,0.129,inf,inf,2,3.613,11.4,55층 352㎡(30.9×11.4m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[351.6, 2.7075, 0.0, 194325.1, 546974.9, 55]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,49,49,165.7,63,36,27,17,36,37580,400.0,8636,46216,4133,43.99,0.054,inf,inf,2,3.626,11.1,49층 400㎡(36.0×11.1m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[399.55, 3.24, 176.0, 194330.1, 546964.9, 49]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,54,54,182.2,62,39,28,17,34,37580,400.0,8816,46396,4133,43.99,0.116,inf,inf,2,3.632,11.22,54층 359㎡(32.0×11.2m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[358.78, 2.85, 168.0, 194327.6, 546974.9, 54]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,53,53,178.9,62,37,28,17,34,37580,400.0,8437,46017,4133,43.99,0.131,inf,inf,2,3.628,12.71,53층 366㎡(28.8×12.7m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[366.25, 2.268, 170.0, 194327.6, 546971.4, 53]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,54,54,182.2,62,37,28,17,34,37580,400.0,8816,46396,4133,43.99,0.119,inf,inf,2,3.623,11.22,54층 359㎡(32.0×11.2m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[358.78, 2.85, 176.0, 194327.6, 546969.9, 54]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,52,52,175.6,62,39,28,17,34,37580,400.0,8282,45862,4133,43.99,0.123,inf,inf,2,3.621,13.35,52층 374㎡(28.0×13.3m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[374.04, 2.1, 170.0, 194327.6, 546973.9, 52]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,55,55,185.5,63,37,28,17,35,37580,400.0,8712,46292,4133,43.99,0.106,inf,inf,2,3.631,11.81,55층 352㎡(29.8×11.8m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[351.6, 2.52, 174.0, 194330.1, 546968.9, 55]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,51,51,172.3,63,37,28,17,35,37580,400.0,8372,45952,4133,43.99,0.101,inf,inf,2,3.631,12.56,51층 382㎡(30.4×12.6m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[382.17, 2.4225, 172.0, 194330.1, 546967.4, 51]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,50,50,169.0,63,36,28,17,35,37580,400.0,8362,45942,4133,43.99,0.074,inf,inf,2,3.628,12.38,50층 391㎡(31.6×12.4m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[390.67, 2.55, 172.0, 194330.1, 546964.9, 50]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,51,51,172.3,63,37,28,17,35,37580,400.0,8437,46017,4133,43.99,0.121,inf,inf,2,3.628,12.24,51층 382㎡(31.2×12.2m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[382.17, 2.55, 172.0, 194330.1, 546969.9, 51]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
단일+저층부,5 미세조정,54,54,182.2,63,37,28,17,35,37580,400.0,8589,46169,4133,43.99,0.134,inf,inf,2,3.628,12.17,54층 359㎡(29.5×12.2m) + 저층부 5층 4000㎡(84.9×47.1m),"{""towers"": [[358.78, 2.4225, 168.0, 194327.6, 546967.4, 54]], ""podium"": [4000.0, 1.8025, 52.04, 194307.2, 546952.7, 5], ""detached"": false}"
