family,stage,floors,top_floors,height_m,new_fail,new_ok,new_fail_bld,new_ok_bld,new_fail_pg,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일+저층부,5 미세조정,55,55,185.5,66,42,21,21,45,37580,400.0,9674,47254,4133,43.99,0.095,inf,inf,2,3.621,9.02,55층 352㎡(39.0×9.0m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,51,51,172.3,68,41,21,21,47,37580,400.0,9581,47161,4133,43.99,0.054,inf,inf,2,3.619,8.92,51층 382㎡(42.8×8.9m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,69,42,21,21,48,37580,400.0,9593,47173,4133,43.99,0.07,inf,inf,2,3.622,9.11,54층 359㎡(39.4×9.1m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,68,41,23,21,45,37580,400.0,9852,47433,4133,43.99,0.045,inf,inf,2,3.624,8.68,55층 352㎡(40.5×8.7m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,69,42,24,20,45,37580,400.0,9593,47173,4133,43.99,0.118,inf,inf,2,3.621,9.11,54층 359㎡(39.4×9.1m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,70,43,24,21,46,37580,400.0,9033,46613,4133,43.99,0.14,inf,inf,2,3.625,10.38,53층 366㎡(35.3×10.4m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,70,43,24,21,46,37580,400.0,9674,47254,4133,43.99,0.087,inf,inf,2,3.622,9.02,55층 352㎡(39.0×9.0m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,70,43,25,21,45,37580,400.0,9332,46912,4133,43.99,0.109,inf,inf,2,3.626,9.79,55층 352㎡(35.9×9.8m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,70,42,25,20,45,37580,400.0,9852,47432,4133,43.99,0.12,inf,inf,2,3.615,8.68,55층 352㎡(40.5×8.7m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,51,51,172.3,70,42,25,20,45,37580,400.0,9236,46816,4133,43.99,0.133,inf,inf,2,3.614,9.65,51층 382㎡(39.6×9.6m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,71,42,25,21,46,37580,400.0,9481,47061,4133,43.99,0.099,inf,inf,2,3.622,9.35,54층 359㎡(38.4×9.3m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,71,43,25,20,46,37580,400.0,9427,47007,4133,43.99,0.166,inf,inf,2,3.618,9.47,54층 359㎡(37.9×9.5m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,71,41,25,20,46,37580,400.0,9921,47501,4133,43.99,0.123,inf,inf,2,3.614,8.56,55층 352㎡(41.1×8.6m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,52,52,175.6,71,42,25,20,46,37580,400.0,9428,47008,4133,43.99,0.157,inf,inf,2,3.61,9.31,52층 374㎡(40.2×9.3m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,60,37,26,17,34,37580,400.0,8970,46550,4133,43.99,0.118,inf,inf,2,3.619,10.83,55층 352㎡(32.5×10.8m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,52,52,175.6,60,36,26,17,34,37580,400.0,8955,46535,4133,43.99,0.12,inf,inf,2,3.616,10.49,52층 374㎡(35.7×10.5m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,60,38,26,17,34,37580,400.0,8656,46236,4133,43.99,0.121,inf,inf,2,3.616,11.86,54층 359㎡(30.2×11.9m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,61,36,26,17,35,37580,400.0,9110,46690,4133,43.99,0.083,inf,inf,2,3.618,10.27,54층 359㎡(34.9×10.3m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,61,36,26,17,35,37580,400.0,9294,46874,4133,43.99,0.094,inf,inf,2,3.612,9.88,55층 352㎡(35.6×9.9m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,2 저층부,55,55,185.5,61,36,26,17,35,37580,400.0,9507,47087,4133,43.99,0.086,inf,inf,2,3.611,9.38,55층 352㎡(37.5×9.4m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,61,36,26,17,35,37580,400.0,9752,47332,4133,43.99,0.092,inf,inf,2,3.607,8.74,53층 366㎡(41.9×8.7m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,55,55,185.5,61,36,26,17,35,37580,400.0,9921,47501,4133,43.99,0.088,inf,inf,2,3.602,8.56,55층 352㎡(41.1×8.6m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,72,42,26,20,46,37580,400.0,9511,47091,4133,43.99,0.118,inf,inf,2,3.62,9.21,53층 366㎡(39.8×9.2m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,50,50,169.0,72,42,26,20,46,37580,400.0,8797,46377,4133,43.99,0.14,inf,inf,2,3.617,10.72,50층 391㎡(36.4×10.7m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,72,43,26,20,46,37580,400.0,9243,46823,4133,43.99,0.172,inf,inf,2,3.617,9.82,53층 366㎡(37.3×9.8m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,72,41,26,20,46,37580,400.0,9752,47332,4133,43.99,0.092,inf,inf,2,3.616,8.74,53층 366㎡(41.9×8.7m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,54,54,182.2,73,41,26,20,47,37580,400.0,9254,46834,4133,43.99,0.125,inf,inf,2,3.629,9.88,54층 359㎡(36.3×9.9m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,73,41,26,20,47,37580,400.0,9243,46823,4133,43.99,0.121,inf,inf,2,3.627,9.82,53층 366㎡(37.3×9.8m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,52,52,175.6,73,41,26,20,47,37580,400.0,9265,46845,4133,43.99,0.114,inf,inf,2,3.622,9.67,52층 374㎡(38.7×9.7m) + 저층부 5층 4000㎡(84.9×47.1m)
단일+저층부,5 미세조정,53,53,178.9,74,40,26,20,48,37580,400.0,9752,47332,4133,43.99,0.063,inf,inf,2,3.621,8.74,53층 366㎡(41.9×8.7m) + 저층부 5층 4000㎡(84.9×47.1m)
