family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,48,48,162.4,62,38,37580,400.0,9546,47126,847,9.02,0.027,,,1,3.563,16.86,48층 783㎡(46.4×16.9m)
단일,5 미세조정,50,50,169.0,63,38,37580,400.0,10009,47589,816,8.69,0.021,,,1,3.55,15.63,50층 752㎡(48.1×15.6m)
단일,5 미세조정,46,46,155.8,63,38,37580,400.0,9409,46989,883,9.4,0.028,,,1,3.566,16.93,46층 817㎡(48.3×16.9m)
단일,5 미세조정,51,51,172.3,64,38,37580,400.0,10242,47822,802,8.53,0.022,,,1,3.542,15.08,51층 737㎡(48.9×15.1m)
단일,5 미세조정,50,50,169.0,64,38,37580,400.0,10137,47717,817,8.7,0.022,,,1,3.546,15.23,50층 752㎡(49.3×15.2m)
단일,5 미세조정,49,49,165.7,64,38,37580,400.0,9842,47422,832,8.85,0.029,,,1,3.552,15.99,49층 767㎡(48.0×16.0m)
단일,5 미세조정,47,47,159.1,64,38,37580,400.0,9815,47395,867,9.23,0.022,,,1,3.556,15.71,47층 800㎡(50.9×15.7m)
단일,5 미세조정,46,46,155.8,64,38,37580,400.0,9145,46725,881,9.38,0.027,,,1,3.576,18.08,46층 817㎡(45.2×18.1m)
단일,5 미세조정,53,53,178.9,65,38,37580,400.0,10318,47898,772,8.22,0.022,,,1,3.572,15.18,53층 709㎡(46.7×15.2m)
단일,5 미세조정,53,53,178.9,65,38,37580,400.0,10318,47898,772,8.22,0.021,,,1,3.547,15.18,53층 709㎡(46.7×15.2m)
단일,5 미세조정,52,52,175.6,65,38,37580,400.0,10153,47733,786,8.36,0.019,,,1,3.567,15.52,52층 723㎡(46.6×15.5m)
단일,5 미세조정,51,51,172.3,65,38,37580,400.0,9854,47434,799,8.51,0.02,,,1,3.579,16.36,51층 737㎡(45.0×16.4m)
단일,5 미세조정,51,51,172.3,65,38,37580,400.0,9931,47511,800,8.51,0.018,,,1,3.571,16.08,51층 737㎡(45.8×16.1m)
단일,5 미세조정,51,51,172.3,65,38,37580,400.0,10050,47630,801,8.52,0.019,,,1,3.567,15.67,51층 737㎡(47.0×15.7m)
단일,5 미세조정,50,50,169.0,65,38,37580,400.0,9828,47408,815,8.68,0.02,,,1,3.577,16.24,50층 752㎡(46.3×16.2m)
단일,5 미세조정,50,50,169.0,65,38,37580,400.0,9880,47460,815,8.68,0.021,,,1,3.575,16.05,50층 752㎡(46.8×16.1m)
단일,5 미세조정,50,50,169.0,65,38,37580,400.0,10137,47717,817,8.7,0.022,,,1,3.57,15.23,50층 752㎡(49.3×15.2m)
