family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일+저층부,5 미세조정,55,55,185.5,62,35,37580,400.0,9239,46820,2602,27.7,0.018,inf,inf,2,3.661,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,62,35,37580,400.0,9239,46820,2603,27.7,0.018,inf,inf,2,3.651,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,62,35,37580,400.0,9427,47007,2603,27.7,0.019,inf,inf,2,3.657,14.05,54층 512㎡(36.4×14.1m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9239,46819,2602,27.7,0.022,inf,inf,2,3.673,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9143,46723,2603,27.7,0.018,inf,inf,2,3.661,15.84,55층 502㎡(31.7×15.8m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9512,47092,2602,27.7,0.03,inf,inf,2,3.648,13.91,55층 502㎡(36.1×13.9m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9174,46754,2602,27.7,0.023,inf,inf,2,3.646,15.63,55층 502㎡(32.1×15.6m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9239,46819,2602,27.7,0.024,inf,inf,2,3.645,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9389,46969,2602,27.7,0.024,inf,inf,2,3.644,14.46,55층 502㎡(34.7×14.5m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,64,35,37580,400.0,9239,46819,2602,27.7,0.021,inf,inf,2,3.632,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,64,35,37581,400.0,9264,46845,2603,27.7,0.027,inf,inf,2,3.658,14.81,54층 512㎡(34.6×14.8m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,53,53,178.9,64,35,37580,400.0,9076,46656,2602,27.7,0.02,inf,inf,2,3.631,15.55,53층 522㎡(33.6×15.6m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,52,52,175.6,64,35,37580,400.0,8992,46572,2602,27.7,0.02,inf,inf,2,3.632,15.72,52층 534㎡(34.0×15.7m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,65,35,37580,400.0,9084,46664,2602,27.7,0.02,inf,inf,2,3.665,16.25,55층 502㎡(30.9×16.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,65,35,37580,400.0,9048,46628,2602,27.7,0.02,inf,inf,2,3.665,16.53,55층 502㎡(30.3×16.5m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,65,35,37580,400.0,9048,46628,2602,27.7,0.026,inf,inf,2,3.66,16.53,55층 502㎡(30.3×16.5m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,65,35,37580,400.0,8894,46474,2603,27.7,0.018,inf,inf,2,3.664,17.35,54층 512㎡(29.5×17.4m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,65,35,37581,400.0,9004,46585,2603,27.7,0.02,inf,inf,2,3.663,16.41,54층 512㎡(31.2×16.4m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,65,35,37580,400.0,9306,46886,2602,27.7,0.03,inf,inf,2,3.647,14.6,54층 512㎡(35.0×14.6m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,65,35,37580,400.0,9062,46642,2602,27.7,0.023,inf,inf,2,3.646,16.0,54층 512㎡(32.0×16.0m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,53,53,178.9,65,35,37580,400.0,8923,46503,2602,27.7,0.022,inf,inf,2,3.644,16.58,53층 522㎡(31.5×16.6m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,52,52,175.6,65,35,37580,400.0,8992,46573,2603,27.7,0.026,inf,inf,2,3.657,15.72,52층 534㎡(34.0×15.7m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,52,52,175.6,65,35,37580,400.0,8842,46422,2602,27.7,0.021,inf,inf,2,3.643,16.76,52층 534㎡(31.8×16.8m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,52,52,175.6,65,35,37580,400.0,8929,46509,2602,27.7,0.022,inf,inf,2,3.643,16.13,52층 534㎡(33.1×16.1m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,66,35,37580,400.0,9239,46819,2602,27.7,0.03,inf,inf,2,3.649,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,66,35,37580,400.0,8973,46553,2602,27.7,0.021,inf,inf,2,3.646,17.18,55층 502㎡(29.2×17.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,66,35,37580,400.0,9239,46819,2602,27.7,0.021,inf,inf,2,3.644,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,55,55,185.5,66,35,37580,400.0,9239,46819,2602,27.7,0.026,inf,inf,2,3.634,15.24,55층 502㎡(32.9×15.2m) + 저층부 5층 2500㎡(59.2×42.3m)
단일+저층부,5 미세조정,54,54,182.2,66,35,37580,400.0,9158,46738,2602,27.7,0.026,inf,inf,2,3.632,15.39,54층 512㎡(33.3×15.4m) + 저층부 5층 2500㎡(59.2×42.3m)
