family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,mean_total_h,min_short_m,label
단일,5 미세조정,46,46,139.7,28,34,37580,400.0,9087,46667,881,9.38,0.022,4.1,18.36,46층 817㎡(44.5×18.4m)
단일,5 미세조정,60,60,181.0,29,35,37580,400.0,11707,49287,689,7.34,0.018,4.067,12.69,60층 626㎡(49.3×12.7m)
단일,5 미세조정,60,60,181.0,30,34,37580,400.0,11151,48731,686,7.3,0.017,4.061,13.9,60층 626㎡(45.0×13.9m)
단일,5 미세조정,60,60,181.0,30,34,37580,400.0,11307,48887,687,7.31,0.018,4.057,13.53,60층 626㎡(46.3×13.5m)
단일,5 미세조정,56,56,169.2,30,33,37580,400.0,11293,48873,736,7.84,0.018,4.052,13.14,56층 671㎡(51.1×13.1m)
단일,5 미세조정,60,60,181.0,31,35,37580,400.0,11707,49287,689,7.34,0.021,4.06,12.69,60층 626㎡(49.3×12.7m)
단일,5 미세조정,58,58,175.1,31,37,37580,400.0,11501,49081,712,7.58,0.029,4.06,12.91,58층 648㎡(50.2×12.9m)
단일,5 미세조정,57,57,172.15,31,34,37580,400.0,11158,48738,723,7.69,0.02,4.065,13.53,57층 659㎡(48.7×13.5m)
단일,5 미세조정,57,57,172.15,31,34,37580,400.0,11397,48977,724,7.71,0.02,4.058,13.02,57층 659㎡(50.6×13.0m)
단일,5 미세조정,55,55,166.25,31,35,37580,400.0,11535,49115,751,8.0,0.02,4.047,12.58,55층 683㎡(54.3×12.6m)
단일,5 미세조정,49,49,148.55,31,34,37580,400.0,9393,46973,829,8.82,0.027,4.083,17.79,49층 767㎡(43.1×17.8m)
단일,5 미세조정,60,60,181.0,32,36,37580,400.0,11151,48731,686,7.3,0.028,4.071,13.9,60층 626㎡(45.0×13.9m)
단일,5 미세조정,60,60,181.0,32,34,37580,400.0,11151,48731,686,7.3,0.017,4.045,13.9,60층 626㎡(45.0×13.9m)
단일,5 미세조정,60,60,181.0,32,33,37580,400.0,11707,49287,689,7.34,0.02,4.029,12.69,60층 626㎡(49.3×12.7m)
