순위,중심E,중심N,기준A충족%,기준B충족%,현황대비%p,학교최악%p,조망전층%,조망저층%,최소이격m,채광2배충족,채광4배충족,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
1,194319.18,546962.7,85.6,81.8,2.9,-3.2,89.8,62.5,12.0,X,X,98,1.38,81.6,85.5,84.8,100.0
2,194315.18,546952.7,85.4,81.5,2.8,-2.8,89.8,62.5,6.6,X,X,99,1.4,80.7,85.9,84.8,100.0
3,194317.18,546952.7,85.4,81.5,2.8,-2.8,89.6,62.0,5.4,X,X,99,1.4,80.7,85.9,84.8,100.0
4,194317.18,546954.7,85.4,81.5,2.8,-2.8,89.6,62.0,7.0,X,X,99,1.39,80.7,85.9,84.8,100.0
5,194319.18,546952.7,85.4,81.5,2.8,-3.2,89.6,62.0,4.2,X,X,99,1.4,81.1,85.5,84.8,100.0
6,194319.18,546954.7,85.4,81.5,2.8,-3.2,89.6,62.0,5.7,X,X,99,1.4,81.1,85.5,84.8,100.0
7,194317.18,546958.7,85.6,80.9,2.9,-2.8,89.4,61.2,10.1,X,X,98,1.37,81.1,85.9,84.8,100.0
8,194319.18,546960.7,85.6,81.8,2.9,-3.2,89.4,61.2,10.5,X,X,98,1.38,81.6,85.5,84.8,100.0
9,194315.18,546954.7,85.4,81.5,2.8,-2.8,89.4,61.2,8.2,X,X,99,1.4,80.7,85.9,84.8,100.0
10,194317.18,546956.7,85.4,81.5,2.8,-2.8,89.4,61.2,8.5,X,X,99,1.39,80.7,85.9,84.8,100.0
11,194315.18,546970.7,85.7,81.2,3.1,-2.8,89.4,61.0,19.7,X,X,97,1.35,81.6,85.9,84.8,100.0
12,194317.18,546970.7,85.7,80.4,3.1,-3.2,89.4,61.0,19.6,X,X,97,1.33,82.1,85.5,84.8,100.0
13,194315.18,546968.7,85.6,81.0,2.9,-2.8,89.4,61.0,19.2,X,X,98,1.38,81.1,85.9,84.8,100.0
14,194315.18,546972.7,85.6,81.0,2.9,-3.2,89.4,61.0,18.1,X,X,98,1.36,81.6,85.5,84.8,100.0
15,194317.18,546968.7,85.6,81.0,2.9,-3.2,89.4,61.0,18.0,X,X,98,1.36,81.6,85.5,84.8,100.0
16,194317.18,546960.7,85.6,80.9,2.9,-2.8,89.3,60.7,11.7,X,X,98,1.37,81.1,85.9,84.8,100.0
17,194319.18,546956.7,85.6,81.6,2.9,-3.2,89.3,60.7,7.3,X,X,98,1.38,81.6,85.5,84.8,100.0
18,194315.18,546958.7,85.4,81.5,2.8,-2.8,89.3,60.7,11.3,X,X,99,1.39,80.7,85.9,84.8,100.0
19,194315.18,546960.7,85.4,81.5,2.8,-2.8,89.3,60.7,12.9,X,X,99,1.39,80.7,85.9,84.8,100.0
20,194319.18,546958.7,85.4,81.6,2.8,-3.2,89.3,60.7,8.9,X,X,99,1.4,81.1,85.5,84.8,100.0
21,194315.18,546956.7,85.4,81.5,2.8,-2.8,89.0,59.5,9.8,X,X,99,1.4,80.7,85.9,84.8,100.0
22,194317.18,546962.7,85.4,80.9,2.8,-3.2,89.0,59.5,13.3,X,X,99,1.39,81.1,85.5,84.8,100.0
23,194317.18,546964.7,85.4,80.9,2.8,-3.2,89.0,59.5,14.8,X,X,99,1.38,81.1,85.5,84.8,100.0
24,194317.18,546966.7,85.6,81.0,2.9,-3.2,88.9,59.3,16.4,X,X,98,1.36,81.6,85.5,84.8,100.0
25,194315.18,546962.7,85.6,80.9,2.9,-2.8,88.8,59.0,14.5,X,X,98,1.38,81.1,85.9,84.8,100.0
26,194315.18,546964.7,85.6,80.9,2.9,-2.8,88.8,59.0,16.1,X,X,98,1.38,81.1,85.9,84.8,100.0
27,194315.18,546966.7,85.6,81.0,2.9,-2.8,88.8,59.0,17.7,X,X,98,1.39,81.1,85.9,84.8,100.0
28,194343.18,546974.7,85.6,81.5,2.9,-4.0,90.4,64.9,4.4,X,X,98,1.27,82.5,84.7,84.8,100.0
29,194343.18,546976.7,85.4,81.5,2.8,-4.0,90.1,63.7,3.1,X,X,99,1.29,82.1,84.7,84.8,100.0
30,194345.18,546972.7,85.6,81.0,2.9,-4.0,89.6,62.0,3.9,X,X,98,1.27,82.5,84.7,84.8,100.0
31,194343.18,546972.7,85.6,81.6,2.9,-4.0,89.5,61.5,5.2,X,X,98,1.28,82.5,84.7,84.8,100.0
32,194321.18,546962.7,85.3,81.5,2.6,-4.4,89.6,62.0,10.8,X,X,100,1.39,82.1,84.3,84.8,100.0
33,194323.18,546954.7,85.3,81.5,2.6,-4.4,89.6,62.0,3.3,X,X,100,1.4,82.1,84.3,84.8,100.0
34,194321.18,546966.7,85.4,81.6,2.8,-4.4,89.5,61.5,14.0,X,X,99,1.37,82.5,84.3,84.8,100.0
35,194319.18,546964.7,85.3,81.5,2.6,-4.4,89.4,61.2,13.6,X,X,100,1.38,82.1,84.3,84.8,100.0
36,194319.18,546970.7,85.4,80.9,2.8,-4.4,89.4,61.0,18.3,X,X,99,1.36,82.5,84.3,84.8,100.0
37,194319.18,546972.7,85.4,80.9,2.8,-4.4,89.4,61.0,19.9,X,X,99,1.35,82.5,84.3,84.8,100.0
38,194319.18,546974.7,85.4,80.9,2.8,-4.4,89.4,61.0,19.0,X,X,99,1.34,82.5,84.3,84.8,100.0
39,194319.18,546976.7,85.3,80.9,2.6,-4.4,89.4,61.0,17.4,X,X,100,1.36,82.5,84.3,84.1,100.0
40,194321.18,546964.7,85.4,81.6,2.8,-4.4,89.3,60.7,12.4,X,X,99,1.37,82.5,84.3,84.8,100.0
41,194321.18,546960.7,85.3,81.5,2.6,-4.4,89.3,60.7,9.2,X,X,100,1.39,82.1,84.3,84.8,100.0
42,194319.18,546968.7,85.4,80.9,2.8,-4.4,89.0,59.8,16.8,X,X,99,1.36,82.5,84.3,84.8,100.0
