층수,기준층㎡,장변m,단변m,높이m,교사동기준A%,불충족평균h,교실평균h,운동장기준A%,한강조망%,대지경계이격m,이격선내
40,939.5,43.35,21.67,122.0,80.5,1.17,3.8,69.0,82.7,5.9,예
50,751.6,38.77,19.39,151.5,80.9,1.14,3.81,68.6,86.1,8.4,예
55,683.3,36.97,18.48,166.2,81.0,1.13,3.82,68.6,87.4,9.4,예
60,626.3,35.39,17.7,181.0,81.3,1.1,3.82,69.1,88.5,10.3,예
65,578.2,34.0,17.0,195.8,81.3,1.1,3.83,69.3,89.3,11.1,예
70,536.9,32.77,16.38,210.5,81.3,1.11,3.85,69.4,90.1,11.8,예
75,501.1,31.66,15.83,225.2,81.5,1.08,3.86,69.5,90.8,12.4,예
80,469.8,30.65,15.33,240.0,81.5,1.08,3.87,69.7,91.3,12.9,예
85,442.1,29.74,14.87,254.8,81.5,1.08,3.88,70.0,91.8,13.5,예
90,417.6,28.9,14.45,269.5,81.5,1.08,3.89,70.0,92.3,13.9,예
95,395.6,28.13,14.06,284.2,81.5,1.08,3.9,70.2,92.7,14.4,예
100,375.8,27.42,13.71,299.0,81.5,1.08,3.91,70.3,93.1,14.7,예
110,341.6,26.14,13.07,328.5,81.5,1.09,3.92,70.5,93.7,15.5,예
120,313.2,25.03,12.51,358.0,81.5,1.09,3.94,70.7,94.2,16.1,예
