순위,동수,층수,종횡비,방위,기준층㎡,높이m,연면적㎡,용적률%,건폐율%,교사동기준A%,불충족평균h,운동장기준A%,교실평균h,한강조망%,중심좌표
1,1,80,2.5,165.0,469.8,240.0,37580,400.0,5.52,81.4,1.09,69.2,3.83,91.2,"E194319.2,N546956.7"
2,1,80,2.5,165.0,469.8,240.0,37580,400.0,5.52,81.4,1.08,69.1,3.82,91.2,"E194319.2,N546959.7"
3,1,80,2.0,165.0,469.8,240.0,37580,400.0,5.5,81.4,1.08,68.9,3.82,91.2,"E194319.2,N546956.7"
4,1,80,2.0,165.0,469.8,240.0,37580,400.0,5.5,81.4,1.08,68.9,3.82,91.2,"E194319.2,N546959.7"
5,1,80,2.0,165.0,469.8,240.0,37580,400.0,5.5,81.4,1.08,69.0,3.81,90.5,"E194316.2,N546962.7"
6,1,75,2.0,165.0,501.1,225.2,37580,400.0,5.85,81.4,1.08,68.7,3.81,90.7,"E194319.2,N546956.7"
7,1,75,2.5,165.0,501.1,225.2,37580,400.0,5.87,81.4,1.08,69.0,3.81,90.7,"E194319.2,N546959.7"
8,1,80,2.5,165.0,469.8,240.0,37580,400.0,5.52,81.3,1.1,69.1,3.81,91.2,"E194320.2,N546961.7"
9,1,80,2.0,165.0,469.8,240.0,37580,400.0,5.5,81.3,1.1,69.2,3.81,91.0,"E194316.2,N546959.7"
10,1,80,2.0,165.0,469.8,240.0,37580,400.0,5.5,81.0,1.13,69.1,3.81,91.2,"E194320.2,N546961.7"
11,1,75,2.0,165.0,501.1,225.2,37580,400.0,5.85,81.0,1.13,68.8,3.79,90.7,"E194320.2,N546961.7"
12,1,75,2.5,165.0,501.1,225.2,37580,400.0,5.87,81.0,1.13,68.9,3.8,90.7,"E194320.2,N546961.7"
13,2,70,2.0,165.0,268.4,210.5,37580,400.0,6.48,80.6,1.16,68.5,3.7,90.2,"E194319.7,N546951.8 / E194310.7,N546985.6"
14,2,60,2.0,165.0,313.2,181.0,37580,400.0,7.49,80.6,1.14,68.3,3.68,88.6,"E194319.7,N546951.8 / E194310.7,N546985.6"
15,2,70,2.0,165.0,268.4,210.5,37580,400.0,6.48,79.3,1.21,70.4,3.73,90.5,"E194335.7,N546967.8 / E194326.7,N547001.6"
16,2,60,2.0,165.0,313.2,181.0,37580,400.0,7.49,79.2,1.21,70.0,3.72,88.9,"E194335.7,N546967.8 / E194326.7,N547001.6"
