구분,종류,학교,지번,수광점,화랑없음h,기존10층h,신축안h,신축−기존,신축−없음
여의도고등학교 ①(4층),교사동,여의도고등학교,30-1,40,5.59,5.59,5.35,-0.23,-0.23
여의도고등학교 ②(4층),교사동,여의도고등학교,30-1,176,4.8,4.8,4.61,-0.2,-0.2
여의도고등학교 ③(3층),교사동,여의도고등학교,30-1,30,4.39,4.39,4.17,-0.22,-0.22
여의도고등학교 운동장,운동장,여의도고등학교,30-1,666,4.54,4.54,4.33,-0.21,-0.21
여의도중학교 ①(5층),교사동,여의도중학교,40-1,165,4.48,4.48,4.04,-0.44,-0.44
여의도중학교 ②(4층),교사동,여의도중학교,40-1,84,3.81,3.71,3.17,-0.54,-0.64
여의도중학교 운동장,운동장,여의도중학교,40-1,520,4.58,4.17,4.06,-0.11,-0.52
여의도여자고등학교 ①(5층),교사동,여의도여자고등학교,40-2,30,0.53,0.53,0.52,-0.02,-0.02
여의도여자고등학교 ②(5층),교사동,여의도여자고등학교,40-2,65,2.76,2.72,2.26,-0.46,-0.5
여의도여자고등학교 ③(5층),교사동,여의도여자고등학교,40-2,60,3.63,3.33,2.88,-0.45,-0.75
여의도여자고등학교 ④(5층),교사동,여의도여자고등학교,40-2,55,5.32,2.92,4.02,1.1,-1.3
여의도여자고등학교 ⑤(4층),교사동,여의도여자고등학교,40-2,36,2.89,2.56,2.75,0.18,-0.15
여의도여자고등학교 운동장,운동장,여의도여자고등학교,40-2,435,3.05,1.97,2.41,0.44,-0.64
여의도초등학교 ①(5층),교사동,여의도초등학교,40-3,90,3.9,3.88,3.16,-0.72,-0.74
여의도초등학교 ②(4층),교사동,여의도초등학교,40-3,68,6.19,6.17,6.15,-0.02,-0.04
여의도초등학교 운동장,운동장,여의도초등학교,40-3,477,4.77,4.28,4.27,-0.01,-0.5
