순위,코드,계열,형상,기준층㎡,층수,직사각형도,장단비,동서폭m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
1,S009,직사각형,직사각형 1.25:1 / 회전 105°,683.3,55,1.0,1.25,30.1,가능,85.4,81.5,2.8,-2.8,99,1.39,80.7,85.9,84.8,100.0
2,S021,직사각형,직사각형 1.5:1 / 회전 105°,683.3,55,1.0,1.5,28.9,가능,85.4,81.5,2.8,-2.8,99,1.39,80.7,85.9,84.8,100.0
3,S022,직사각형,직사각형 1.5:1 / 회전 120°,683.3,55,1.0,1.5,34.5,가능,85.4,81.5,2.8,-2.8,99,1.38,80.7,85.9,84.8,100.0
4,S085,팔각형,모서리컷 팔각형 1.6:1 / 회전 105°,683.3,55,0.98,1.6,27.5,가능,85.4,81.5,2.8,-2.8,99,1.39,80.7,85.9,84.8,100.0
5,S086,팔각형,모서리컷 팔각형 1.6:1 / 회전 120°,683.3,55,0.98,1.6,32.2,가능,85.4,81.5,2.8,-2.8,99,1.39,80.7,85.9,84.8,100.0
6,S033,직사각형,직사각형 2:1 / 회전 105°,683.3,55,1.0,2.0,27.4,가능,85.4,81.5,2.8,-2.8,99,1.4,80.7,85.9,84.8,100.0
7,S034,직사각형,직사각형 2:1 / 회전 120°,683.3,55,1.0,2.0,34.5,가능,85.4,81.5,2.8,-2.8,99,1.38,80.7,85.9,84.8,100.0
8,S045,직사각형,직사각형 2.5:1 / 회전 105°,683.3,55,1.0,2.5,26.7,가능,85.6,81.5,2.9,-2.8,98,1.37,81.1,85.9,84.8,100.0
9,S057,직사각형,직사각형 3:1 / 회전 105°,683.3,55,1.0,3.0,26.3,가능,85.6,81.5,2.9,-2.8,98,1.37,81.1,85.9,84.8,100.0
10,S096,타원,타원 1.6:1 / 회전 75°,683.3,55,0.784,1.6,24.5,가능,85.4,81.5,2.8,-2.8,99,1.41,80.7,85.9,84.8,100.0
11,S097,타원,타원 1.6:1 / 회전 90°,683.3,55,0.784,1.6,23.4,가능,85.4,81.5,2.8,-2.8,99,1.42,80.7,85.9,84.8,100.0
12,S098,타원,타원 1.6:1 / 회전 105°,683.3,55,0.784,1.6,24.5,가능,85.4,81.5,2.8,-2.8,99,1.41,80.7,85.9,84.8,100.0
13,S099,타원,타원 1.6:1 / 회전 120°,683.3,55,0.784,1.6,27.5,가능,85.4,81.5,2.8,-2.8,99,1.4,80.7,85.9,84.8,100.0
