순위,구성,분할비,저층방향,저층수,고층수,저층면적㎡,고층면적㎡,달성연면적㎡,연면적편차%,기준A%,균일대비%p,학교최악%p,30-1,40-1,40-2,40-3
1,분할0.05·+u(345°)측 저층·15F/57F,0.05,+u(345°)측 저층,15,57,34.2,649.0,37508.0,-0.19,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
2,분할0.05·+u(345°)측 저층·16F/57F,0.05,+u(345°)측 저층,16,57,34.2,649.0,37542.0,-0.1,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
3,분할0.05·+u(345°)측 저층·17F/57F,0.05,+u(345°)측 저층,17,57,34.2,649.0,37576.0,-0.01,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
4,분할0.05·+u(345°)측 저층·18F/57F,0.05,+u(345°)측 저층,18,57,34.2,649.0,37610.0,0.08,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
5,분할0.10·+u(345°)측 저층·15F/59F,0.1,+u(345°)측 저층,15,59,68.3,614.9,37303.0,-0.74,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
6,분할0.10·+u(345°)측 저층·16F/59F,0.1,+u(345°)측 저층,16,59,68.3,614.9,37371.0,-0.56,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
7,분할0.10·+u(345°)측 저층·17F/59F,0.1,+u(345°)측 저층,17,59,68.3,614.9,37440.0,-0.37,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
8,분할0.10·+u(345°)측 저층·18F/59F,0.1,+u(345°)측 저층,18,59,68.3,614.9,37508.0,-0.19,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
9,분할0.05·+u(345°)측 저층·19F/57F,0.05,+u(345°)측 저층,19,57,34.2,649.0,37645.0,0.17,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
10,분할0.05·+u(345°)측 저층·20F/57F,0.05,+u(345°)측 저층,20,57,34.2,649.0,37679.0,0.26,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
11,분할0.05·+u(345°)측 저층·21F/57F,0.05,+u(345°)측 저층,21,57,34.2,649.0,37713.0,0.35,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
12,분할0.05·+u(345°)측 저층·22F/57F,0.05,+u(345°)측 저층,22,57,34.2,649.0,37747.0,0.44,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
13,분할0.05·+u(345°)측 저층·23F/57F,0.05,+u(345°)측 저층,23,57,34.2,649.0,37781.0,0.54,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
14,분할0.10·+u(345°)측 저층·19F/59F,0.1,+u(345°)측 저층,19,59,68.3,614.9,37576.0,-0.01,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
15,분할0.10·+u(345°)측 저층·20F/59F,0.1,+u(345°)측 저층,20,59,68.3,614.9,37645.0,0.17,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
16,분할0.10·+u(345°)측 저층·21F/59F,0.1,+u(345°)측 저층,21,59,68.3,614.9,37713.0,0.35,85.9,0.0,-3.2,82.5,85.5,84.8,100.0
