stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,podium_az,new_fail,new_ok,coverage_m2,bcr_pct,gfa_m2,far_pct,height_m
G 용적률 민감도,39,3.0,165.0,194307.2,546968.7,292.7,29.63,9.88,1500.0,1.6,194289.2,546932.7,52.0,19,54,1580.6,16.82,23488,250.0,119.05
F 정밀 미세조정,42,3.906,166.5,194309.2,546962.7,299.4,34.2,8.75,2800.0,1.6,194295.2,546944.7,52.0,23,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,41,3.906,166.5,194309.2,546962.7,309.0,34.74,8.89,2800.0,1.6,194295.2,546944.7,52.0,23,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,43,4.531,163.5,194309.2,546958.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,24,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,4.531,163.5,194309.2,546958.7,299.4,36.83,8.13,2800.0,1.6,194295.2,546944.7,52.0,24,43,2909.8,30.97,37580,400.0,127.9
G 용적률 민감도,39,3.0,165.0,194271.2,546932.7,361.3,32.92,10.97,0.0,0.0,0.0,0.0,52.0,24,40,406.2,4.32,14092,150.0,119.05
F 정밀 미세조정,43,3.906,166.5,194309.2,546962.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,25,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.906,171.0,194309.2,546966.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,25,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,2.656,168.0,194311.2,546964.7,299.4,28.2,10.62,2800.0,1.6,194295.2,546944.7,52.0,25,44,2909.8,30.97,37580,400.0,127.9
G 용적률 민감도,39,3.0,165.0,194271.2,546932.7,481.8,38.02,12.67,0.0,0.0,0.0,0.0,52.0,25,40,533.5,5.68,18790,200.0,119.05
F 정밀 미세조정,43,2.656,168.0,194311.2,546964.7,290.3,27.77,10.45,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,2.969,169.5,194311.2,546964.7,290.3,29.36,9.89,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,2.969,169.5,194311.2,546964.7,299.4,29.81,10.04,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.438,169.5,194309.2,546964.7,299.4,32.08,9.33,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,41,2.969,169.5,194311.2,546964.7,309.0,30.29,10.2,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.438,169.5,194309.2,546964.7,309.0,32.59,9.48,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,40,3.438,169.5,194309.2,546964.7,319.3,33.13,9.64,2800.0,1.6,194295.2,546944.7,52.0,26,44,2909.8,30.97,37580,400.0,122.0
G 용적률 민감도,39,2.0,150.0,194271.2,546932.7,361.3,26.88,13.44,0.0,0.0,0.0,0.0,52.0,26,43,402.7,4.29,14092,150.0,119.05
G 용적률 민감도,45,3.0,165.0,194271.2,546932.7,417.6,35.39,11.8,0.0,0.0,0.0,0.0,52.0,27,40,465.7,4.96,18790,200.0,136.75
