stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,new_fail,new_ok,coverage_m2,bcr_pct,far_pct,height_m
E2 층수 하향(범위 밖 참고),25,2.0,150.0,194315.2,546944.7,238.7,21.85,10.92,3400.0,1.6,194299.2,546944.7,23,40,3520.9,37.48,400.0,77.75
E2 층수 하향(범위 밖 참고),25,2.5,165.0,194315.2,546944.7,238.7,24.43,9.77,3400.0,1.6,194315.2,546960.7,25,40,3520.9,37.48,400.0,77.75
E2 층수 하향(범위 밖 참고),25,2.0,165.0,194315.2,546960.7,238.7,21.85,10.92,3400.0,2.2,194299.2,546944.7,29,46,3526.8,37.54,400.0,77.75
E2 층수 하향(범위 밖 참고),20,2.0,165.0,194315.2,546960.7,358.0,26.76,13.38,3400.0,1.6,194315.2,546960.7,29,40,3520.9,37.48,400.0,63.0
E2 층수 하향(범위 밖 참고),20,3.0,150.0,194331.2,546976.7,358.0,32.77,10.92,3400.0,2.2,194299.2,546944.7,29,37,3526.8,37.54,400.0,63.0
E2 층수 하향(범위 밖 참고),20,2.0,150.0,194315.2,546960.7,358.0,26.76,13.38,3400.0,1.6,194315.2,546960.7,30,40,3520.9,37.48,400.0,63.0
E1 저층부 확대(경계 확장),39,3.0,172.5,194305.2,546980.7,192.4,24.03,8.01,3200.0,1.6,194305.2,546952.7,31,52,3317.3,35.31,400.0,119.05
E1 저층부 확대(경계 확장),43,2.5,172.5,194305.2,546980.7,229.7,23.96,9.59,3000.0,1.6,194305.2,546952.7,35,52,3113.6,33.14,400.0,130.85
E2 층수 하향(범위 밖 참고),20,3.0,165.0,194315.2,546960.7,358.0,32.77,10.92,3400.0,2.2,194315.2,546960.7,35,38,3526.8,37.54,400.0,63.0
E2 층수 하향(범위 밖 참고),25,2.5,150.0,194315.2,546976.7,238.7,24.43,9.77,3400.0,1.6,194299.2,546944.7,36,42,3520.9,37.48,400.0,77.75
E2 층수 하향(범위 밖 참고),25,3.0,150.0,194347.2,546976.7,238.7,26.76,8.92,3400.0,2.2,194299.2,546944.7,38,28,3526.8,37.54,400.0,77.75
E1 저층부 확대(경계 확장),43,2.5,165.0,194305.2,546980.7,290.3,26.94,10.78,2800.0,2.2,194291.2,546952.7,39,30,2915.2,31.03,400.0,130.85
E1 저층부 확대(경계 확장),41,2.0,172.5,194305.2,546980.7,309.0,24.86,12.43,2800.0,1.6,194291.2,546938.7,39,44,2909.8,30.97,400.0,124.95
E1 저층부 확대(경계 확장),45,2.0,172.5,194305.2,546980.7,216.6,20.81,10.41,3000.0,3.0,194305.2,546952.7,40,39,3127.5,33.29,400.0,136.75
E1 저층부 확대(경계 확장),43,3.0,157.5,194305.2,546980.7,229.7,26.25,8.75,3000.0,3.0,194305.2,546952.7,41,39,3127.5,33.29,400.0,130.85
E1 저층부 확대(경계 확장),39,2.0,172.5,194305.2,546980.7,261.4,22.86,11.43,3000.0,3.0,194305.2,546952.7,41,39,3127.5,33.29,400.0,119.05
E2 층수 하향(범위 밖 참고),30,2.0,165.0,194315.2,546960.7,479.0,30.95,15.48,2800.0,1.6,194299.2,546944.7,41,50,2909.8,30.97,400.0,92.5
E2 층수 하향(범위 밖 참고),20,2.0,165.0,194331.2,546976.7,358.0,26.76,13.38,3400.0,3.0,194299.2,546960.7,41,14,3535.7,37.63,400.0,63.0
E1 저층부 확대(경계 확장),41,2.0,150.0,194305.2,546980.7,180.0,18.97,9.49,3200.0,2.2,194305.2,546952.7,42,47,3323.0,35.37,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,157.5,194305.2,546980.7,261.4,22.86,11.43,3000.0,1.6,194305.2,546952.7,42,52,3113.6,33.14,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.5,165.0,194315.2,546960.7,330.3,28.74,11.5,2800.0,4.0,194315.2,546944.7,42,45,2933.3,31.22,400.0,119.05
E2 층수 하향(범위 밖 참고),25,2.5,165.0,194315.2,546960.7,638.7,39.96,15.98,2800.0,4.0,194315.2,546944.7,42,44,2933.3,31.22,400.0,77.75
E2 층수 하향(범위 밖 참고),20,2.0,150.0,194331.2,546976.7,358.0,26.76,13.38,3400.0,3.0,194299.2,546960.7,42,15,3535.7,37.63,400.0,63.0
E1 저층부 확대(경계 확장),45,2.0,165.0,194319.2,546952.7,273.7,23.4,11.7,2800.0,4.0,194305.2,546952.7,43,40,2933.3,31.22,400.0,136.75
E1 저층부 확대(경계 확장),43,2.5,150.0,194319.2,546952.7,290.3,26.94,10.78,2800.0,1.6,194291.2,546938.7,43,42,2909.8,30.97,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,157.5,194305.2,546980.7,290.3,31.88,9.11,2800.0,2.2,194291.2,546952.7,43,30,2915.2,31.03,400.0,130.85
E2 층수 하향(범위 밖 참고),25,2.5,165.0,194315.2,546992.7,238.7,24.43,9.77,3400.0,2.2,194299.2,546944.7,43,46,3526.8,37.54,400.0,77.75
E2 층수 하향(범위 밖 참고),25,3.0,165.0,194315.2,546960.7,238.7,26.76,8.92,3400.0,2.2,194315.2,546960.7,43,38,3526.8,37.54,400.0,77.75
