수광점ID,학교,지번,종류,교사동/운동장,수광면,층,번호,수광점정의,X,Y,Z,창면방위,총일조h,연속h_08_16,연속h_09_15,기준A,기준B
여의도고등학교 ①(4층) 1층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,1,일반식,194115.41,547347.94,1.2,142.5,5.67,5.67,5.67,충족,충족
여의도고등학교 ①(4층) 2층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,1,일반식,194115.41,547347.94,4.7,142.5,6.0,6.0,6.0,충족,충족
여의도고등학교 ①(4층) 3층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,1,일반식,194115.41,547347.94,8.2,142.5,6.33,6.33,6.17,충족,충족
여의도고등학교 ①(4층) 4층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,1,일반식,194115.41,547347.94,11.7,142.5,6.83,6.83,6.17,충족,충족
여의도고등학교 ①(4층) 1층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,2,일반식,194111.43,547344.89,1.2,142.5,5.67,5.67,5.67,충족,충족
여의도고등학교 ①(4층) 2층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,2,일반식,194111.43,547344.89,4.7,142.5,6.0,6.0,5.83,충족,충족
여의도고등학교 ①(4층) 3층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,2,일반식,194111.43,547344.89,8.2,142.5,6.33,6.33,6.0,충족,충족
여의도고등학교 ①(4층) 4층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,2,일반식,194111.43,547344.89,11.7,142.5,7.0,7.0,6.17,충족,충족
여의도고등학교 ①(4층) 1층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,3,일반식,194107.45,547341.84,1.2,142.5,5.83,5.83,5.67,충족,충족
여의도고등학교 ①(4층) 2층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,3,일반식,194107.45,547341.84,4.7,142.5,6.0,6.0,5.67,충족,충족
여의도고등학교 ①(4층) 3층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,3,일반식,194107.45,547341.84,8.2,142.5,6.33,6.33,5.83,충족,충족
여의도고등학교 ①(4층) 4층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,3,일반식,194107.45,547341.84,11.7,142.5,6.83,6.83,6.17,충족,충족
여의도고등학교 ①(4층) 1층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,4,일반식,194103.47,547338.78,1.2,142.5,5.83,5.83,5.5,충족,충족
여의도고등학교 ①(4층) 2층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,4,일반식,194103.47,547338.78,4.7,142.5,5.83,5.83,5.5,충족,충족
여의도고등학교 ①(4층) 3층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,4,일반식,194103.47,547338.78,8.2,142.5,6.33,6.33,5.83,충족,충족
여의도고등학교 ①(4층) 4층-4,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,4,일반식,194103.47,547338.78,11.7,142.5,6.83,6.83,6.0,충족,충족
여의도고등학교 ①(4층) 1층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,5,일반식,194099.49,547335.73,1.2,142.5,5.83,5.83,5.5,충족,충족
여의도고등학교 ①(4층) 2층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,5,일반식,194099.49,547335.73,4.7,142.5,6.0,6.0,5.5,충족,충족
여의도고등학교 ①(4층) 3층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,5,일반식,194099.49,547335.73,8.2,142.5,6.33,6.33,5.67,충족,충족
여의도고등학교 ①(4층) 4층-5,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,5,일반식,194099.49,547335.73,11.7,142.5,6.67,6.67,5.83,충족,충족
여의도고등학교 ①(4층) 1층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,6,일반식,194095.52,547332.68,1.2,142.5,5.83,5.83,5.33,충족,충족
여의도고등학교 ①(4층) 2층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,6,일반식,194095.52,547332.68,4.7,142.5,5.83,5.83,5.33,충족,충족
여의도고등학교 ①(4층) 3층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,6,일반식,194095.52,547332.68,8.2,142.5,6.17,6.17,5.5,충족,충족
여의도고등학교 ①(4층) 4층-6,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,6,일반식,194095.52,547332.68,11.7,142.5,6.5,6.5,5.67,충족,충족
여의도고등학교 ①(4층) 1층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,7,일반식,194091.54,547329.63,1.2,142.5,5.83,5.83,5.33,충족,충족
여의도고등학교 ①(4층) 2층-7,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,7,일반식,194091.54,547329.63,4.7,142.5,6.0,6.0,5.33,충족,충족
