학교,교사동,파사드,층,X,Y,Z,창면방위
여의도중학교,본관(5층),본관(5층),1,194363.56,547109.2,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194363.56,547109.2,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194363.56,547109.2,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194363.56,547109.2,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194363.56,547109.2,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194361.98,547111.14,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194361.98,547111.14,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194361.98,547111.14,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194361.98,547111.14,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194361.98,547111.14,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194360.4,547113.08,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194360.4,547113.08,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194360.4,547113.08,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194360.4,547113.08,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194360.4,547113.08,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194358.83,547115.02,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194358.83,547115.02,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194358.83,547115.02,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194358.83,547115.02,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194358.83,547115.02,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194357.25,547116.95,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194357.25,547116.95,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194357.25,547116.95,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194357.25,547116.95,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194357.25,547116.95,17.1,230.8
여의도중학교,본관(5층),본관(5층),4,194355.67,547118.89,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194355.67,547118.89,17.1,230.8
여의도중학교,본관(5층),본관(5층),4,194354.09,547120.83,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194354.09,547120.83,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194352.51,547122.77,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194352.51,547122.77,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194352.51,547122.77,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194352.51,547122.77,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194352.51,547122.77,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194350.93,547124.7,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194350.93,547124.7,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194350.93,547124.7,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194350.93,547124.7,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194350.93,547124.7,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194349.35,547126.64,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194349.35,547126.64,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194349.35,547126.64,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194349.35,547126.64,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194349.35,547126.64,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194347.77,547128.58,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194347.77,547128.58,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194347.77,547128.58,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194347.77,547128.58,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194347.77,547128.58,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194346.19,547130.52,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194346.19,547130.52,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194346.19,547130.52,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194346.19,547130.52,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194346.19,547130.52,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194344.61,547132.46,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194344.61,547132.46,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194344.61,547132.46,9.9,230.8
여의도중학교,본관(5층),본관(5층),4,194344.61,547132.46,13.5,230.8
여의도중학교,본관(5층),본관(5층),5,194344.61,547132.46,17.1,230.8
여의도중학교,본관(5층),본관(5층),1,194343.03,547134.39,2.4,230.8
여의도중학교,본관(5층),본관(5층),2,194343.03,547134.39,6.3,230.8
여의도중학교,본관(5층),본관(5층),3,194343.03,547134.39,9.9,230.8
