학교,교사동,층,X,Y,Z,창면방위
여의도초등학교,별관(5층),1,194421.39,547061.36,1.95,231.9
여의도초등학교,별관(5층),2,194421.39,547061.36,5.15,231.9
여의도초등학교,별관(5층),3,194421.39,547061.36,8.35,231.9
여의도초등학교,별관(5층),4,194421.39,547061.36,11.55,231.9
여의도초등학교,별관(5층),5,194421.39,547061.36,14.75,231.9
여의도초등학교,별관(5층),1,194419.84,547063.33,1.95,231.9
여의도초등학교,별관(5층),2,194419.84,547063.33,5.15,231.9
여의도초등학교,별관(5층),3,194419.84,547063.33,8.35,231.9
여의도초등학교,별관(5층),4,194419.84,547063.33,11.55,231.9
여의도초등학교,별관(5층),5,194419.84,547063.33,14.75,231.9
여의도초등학교,별관(5층),1,194418.3,547065.29,1.95,231.9
여의도초등학교,별관(5층),2,194418.3,547065.29,5.15,231.9
여의도초등학교,별관(5층),3,194418.3,547065.29,8.35,231.9
여의도초등학교,별관(5층),4,194418.3,547065.29,11.55,231.9
여의도초등학교,별관(5층),5,194418.3,547065.29,14.75,231.9
여의도초등학교,별관(5층),1,194416.76,547067.26,1.95,231.9
여의도초등학교,별관(5층),2,194416.76,547067.26,5.15,231.9
여의도초등학교,별관(5층),3,194416.76,547067.26,8.35,231.9
여의도초등학교,별관(5층),4,194416.76,547067.26,11.55,231.9
여의도초등학교,별관(5층),5,194416.76,547067.26,14.75,231.9
여의도초등학교,별관(5층),1,194415.21,547069.23,1.95,231.9
여의도초등학교,별관(5층),2,194415.21,547069.23,5.15,231.9
여의도초등학교,별관(5층),3,194415.21,547069.23,8.35,231.9
여의도초등학교,별관(5층),4,194415.21,547069.23,11.55,231.9
여의도초등학교,별관(5층),5,194415.21,547069.23,14.75,231.9
여의도초등학교,별관(5층),1,194413.67,547071.19,1.95,231.9
여의도초등학교,별관(5층),2,194413.67,547071.19,5.15,231.9
여의도초등학교,별관(5층),3,194413.67,547071.19,8.35,231.9
여의도초등학교,별관(5층),4,194413.67,547071.19,11.55,231.9
여의도초등학교,별관(5층),5,194413.67,547071.19,14.75,231.9
여의도초등학교,별관(5층),1,194412.13,547073.16,1.95,231.9
여의도초등학교,별관(5층),2,194412.13,547073.16,5.15,231.9
여의도초등학교,별관(5층),3,194412.13,547073.16,8.35,231.9
여의도초등학교,별관(5층),4,194412.13,547073.16,11.55,231.9
여의도초등학교,별관(5층),5,194412.13,547073.16,14.75,231.9
여의도초등학교,별관(5층),1,194410.58,547075.13,1.95,231.9
여의도초등학교,별관(5층),2,194410.58,547075.13,5.15,231.9
여의도초등학교,별관(5층),3,194410.58,547075.13,8.35,231.9
여의도초등학교,별관(5층),4,194410.58,547075.13,11.55,231.9
여의도초등학교,별관(5층),5,194410.58,547075.13,14.75,231.9
여의도초등학교,별관(5층),1,194409.04,547077.09,1.95,231.9
여의도초등학교,별관(5층),2,194409.04,547077.09,5.15,231.9
여의도초등학교,별관(5층),3,194409.04,547077.09,8.35,231.9
여의도초등학교,별관(5층),4,194409.04,547077.09,11.55,231.9
여의도초등학교,별관(5층),5,194409.04,547077.09,14.75,231.9
여의도초등학교,별관(5층),1,194407.5,547079.06,1.95,231.9
여의도초등학교,별관(5층),2,194407.5,547079.06,5.15,231.9
여의도초등학교,별관(5층),3,194407.5,547079.06,8.35,231.9
여의도초등학교,별관(5층),4,194407.5,547079.06,11.55,231.9
여의도초등학교,별관(5층),5,194407.5,547079.06,14.75,231.9
여의도초등학교,별관(5층),1,194405.95,547081.03,1.95,231.9
여의도초등학교,별관(5층),2,194405.95,547081.03,5.15,231.9
여의도초등학교,별관(5층),3,194405.95,547081.03,8.35,231.9
여의도초등학교,별관(5층),4,194405.95,547081.03,11.55,231.9
여의도초등학교,별관(5층),5,194405.95,547081.03,14.75,231.9
여의도초등학교,별관(5층),1,194401.32,547086.93,1.95,231.9
여의도초등학교,별관(5층),2,194401.32,547086.93,5.15,231.9
여의도초등학교,별관(5층),3,194401.32,547086.93,8.35,231.9
여의도초등학교,별관(5층),4,194401.32,547086.93,11.55,231.9
여의도초등학교,별관(5층),5,194401.32,547086.93,14.75,231.9
여의도초등학교,별관(5층),1,194399.78,547088.9,1.95,231.9
여의도초등학교,별관(5층),2,194399.78,547088.9,5.15,231.9
여의도초등학교,별관(5층),3,194399.78,547088.9,8.35,231.9
여의도초등학교,별관(5층),4,194399.78,547088.9,11.55,231.9
여의도초등학교,별관(5층),5,194399.78,547088.9,14.75,231.9
여의도초등학교,별관(5층),1,194398.24,547090.86,1.95,231.9
여의도초등학교,별관(5층),2,194398.24,547090.86,5.15,231.9
여의도초등학교,별관(5층),3,194398.24,547090.86,8.35,231.9
여의도초등학교,별관(5층),4,194398.24,547090.86,11.55,231.9
여의도초등학교,별관(5층),5,194398.24,547090.86,14.75,231.9
여의도초등학교,별관(5층),1,194396.69,547092.83,1.95,231.9
여의도초등학교,별관(5층),2,194396.69,547092.83,5.15,231.9
여의도초등학교,별관(5층),3,194396.69,547092.83,8.35,231.9
여의도초등학교,별관(5층),4,194396.69,547092.83,11.55,231.9
여의도초등학교,별관(5층),5,194396.69,547092.83,14.75,231.9
여의도초등학교,별관(5층),1,194395.15,547094.8,1.95,231.9
여의도초등학교,별관(5층),2,194395.15,547094.8,5.15,231.9
여의도초등학교,별관(5층),3,194395.15,547094.8,8.35,231.9
여의도초등학교,별관(5층),4,194395.15,547094.8,11.55,231.9
여의도초등학교,별관(5층),5,194395.15,547094.8,14.75,231.9
여의도초등학교,별관(5층),1,194393.61,547096.76,1.95,231.9
여의도초등학교,별관(5층),2,194393.61,547096.76,5.15,231.9
여의도초등학교,별관(5층),3,194393.61,547096.76,8.35,231.9
여의도초등학교,별관(5층),4,194393.61,547096.76,11.55,231.9
여의도초등학교,별관(5층),5,194393.61,547096.76,14.75,231.9
여의도초등학교,별관(5층),1,194392.06,547098.73,1.95,231.9
여의도초등학교,별관(5층),2,194392.06,547098.73,5.15,231.9
여의도초등학교,별관(5층),3,194392.06,547098.73,8.35,231.9
